,INTUnit1,INTUnit2,INTUnit3,INTUnit4,INTUnit5,INTUnit6,INTUnit7
S0,6,12,6,1,2,0,1
X0,4,2,14,10,5,12,4
UC0,0,0,0,0,0,0,0
DC0,8,4,0,1,1,0,0
I0,2,0,0,2,0,0,0
M0,0,0,0,0,0,0,0
Y0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
L0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
W0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
