S_1,S_2,S_3,S_4,S_5,S_6,S_7,X_1,X_2,X_3,X_4,X_5,X_6,X_7,UC_1,UC_2,UC_3,UC_4,UC_5,UC_6,UC_7, DC_1, DC_2, DC_3, DC_4, DC_5, DC_6, DC_7,I_1,I_2,I_3,I_4,I_5,I_6,I_7,M_1,M_2,M_3,M_4,M_5,M_6,M_7,N0_1,N0_2,N0_3,N0_4,N0_5,N0_6,N0_7,N1_1,N1_2,N1_3,N1_4,N1_5,N1_6,N1_7,D0_1,D0_2,D0_3,D0_4,D0_5,D0_6,D0_7,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,L_1,L_2,L_3,L_4,L_5,L_6,L_7,W_1,W_2,W_3,W_4,W_5,W_6,W_7
6.0,12.0,6.0,1.0,2.0,0.0,1.0,4.0,2.0,14.0,10.0,5.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,5.0,3.5,2.0,3.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,2.0,1.4000000000000001,0.8,1.2000000000000002,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
6.0326456267219015,11.95392050965231,6.050917696750688,1.081312314518334,2.0242344741671046,0.053862372551983895,1.0134429482450784,4.063637127905687,2.065156255863929,13.943382995690273,9.963366890492273,4.985758322089745,11.942643019342114,3.9825988151768605,0.007705449541392076,0.006224291394019481,0.003651037905948075,0.010170815948847818,0.002044494921917559,0.0024134557607109813,0.002433580012912491,7.922184250527551,3.9700349779916846,0.0020071947984898267,0.9881642957114759,0.9869502129552862,0.001059182140891264,0.0013604743341422965,1.973827545303469,0.00466396509805215,4.107485460453006e-05,1.9569856833290755,0.0010124958659459922,2.197020429636401e-05,0.00016418223100541572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92353676490759,4.493061599591122,4.9994977796551145,3.435461656999242,1.998195749373033,2.999699412011179,1.2498700995143206,0.07646323509241203,0.006938400408875811,0.0005022203448877964,0.06453834300075846,0.0018042506269680576,0.00030058798881941784,0.0001299004856799382,1.9752846538688649,1.775284653868865,1.9752846538688649,1.375284653868865,0.7752846538688641,1.175284653868865,0.4752846538688639,0.02471534613113593,0.02471534613113593,0.02471534613113593,0.02471534613113593,0.02471534613113593,0.02471534613113593,0.02471534613113593,0.0003836986133713567,0.0001316691139028093,0.00010852731204295257,0.00034167183977720794,0.00011343528633732275,0.00010794125100940193,0.00010744175631970615,0.0005419329266836839,9.127348182689736e-05,4.963586570381119e-05,0.0004677157999658618,5.964501149828861e-05,4.9397184313751187e-05,4.921897347052413e-05,0.00013971422850625378,9.986476309973656e-05,9.621126937207089e-05,0.00013303400374335732,9.695031990924506e-05,9.609408858734309e-05,9.59935485396172e-05
6.061116394638404,11.906976808990219,6.100910150823978,1.1606693499607588,2.0478657216000062,0.10722145698205095,1.0265172601009351,4.1229499829535605,2.12956662954438,13.886800581686387,9.917619348713256,4.970764017268133,11.88464237713168,3.9643905986240937,0.017236012380793767,0.010689921647444357,0.006316408102996253,0.02290809549725705,0.004030596113964252,0.004564204658065045,0.0046243255756643386,7.850624243300723,3.9435266914347262,0.005880664619623676,0.9838297252155978,0.9753398759727075,0.0035184255993486045,0.004132324117752006,1.9480733667265206,0.00923994838322207,9.219476701950072e-05,1.9149734806131389,0.001999789045187569,5.3535628854993864e-05,0.0003354915815538529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894586335031367,4.490201901714699,4.999290108469607,3.4121797707973243,1.99748820413879,2.999576595850929,1.2498084788835164,0.10541366496863454,0.009798098285296758,0.0007098915303943678,0.08782022920267658,0.002511795861211483,0.0004234041490703544,0.00019152111648364353,1.9663849166203786,1.7663849166203787,1.9663849166203786,1.3663849166203788,0.7663849166203776,1.1663849166203788,0.4663849166203774,0.033615083379622455,0.033615083379622455,0.033615083379622455,0.033615083379622455,0.033615083379622455,0.033615083379622455,0.033615083379622455,0.000902630080266124,0.00019661791138156817,0.00013075977075785678,0.0007799821012533126,0.00014444486190201412,0.00012898541586953661,0.0001275135174441411,0.0008157715281499305,9.946930400146482e-05,3.1946820243895655e-05,0.000692838402509318,4.7784232666552733e-05,3.137315586556586e-05,3.097827880461177e-05,0.00022536920698900388,0.00010418216240142209,9.288868588341996e-05,0.00020419612817272568,9.515965290240133e-05,9.253319258940638e-05,9.223571638261759e-05
6.0874674008773555,11.859835631527321,6.150130086809913,1.238466198361238,2.0710737294337567,0.16008018427192092,1.0393487763380043,4.179772600152229,2.19337791668086,13.830698425419572,9.868298442524306,4.955613950633432,11.826745135795003,3.94604719246767,0.02502548173848505,0.013625865248554213,0.008032071248665203,0.03290058071719963,0.005444400737820997,0.006046689923951818,0.00612700534037211,7.785017320721773,3.9194340344146608,0.010988665610357476,0.9864155921799802,0.9649083711008904,0.007036444870874617,0.0079664443093805,1.9227171965101606,0.013726552128595268,0.00015075091149654733,1.873919186217288,0.0029595480940963954,9.154513824944387e-05,0.0005105815445718127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8827910389271985,4.488802379034048,4.999137848401341,3.403751637346652,1.9971677445307565,2.999487523463866,1.249758301406526,0.11720896107280275,0.011197620965946797,0.0008621515986593978,0.09624836265334871,0.0028322554692451984,0.0005124765361334443,0.0002416985934740704,1.963222995015031,1.763222995015031,1.963222995015031,1.3632229950150312,0.7632229950150302,1.1632229950150312,0.46322299501503017,0.036777004984969774,0.036777004984969774,0.036777004984969774,0.036777004984969774,0.036777004984969774,0.036777004984969774,0.036777004984969774,0.0014928979403943004,0.00027283856930490136,0.00015728223677859246,0.0012720483541651779,0.0001808362750689954,0.00015402897752367652,0.00015140639644954995,0.0009646981696563111,0.00010846182888472415,2.5915718277612988e-05,0.000810808723189841,4.4858620950774763e-05,2.5055036152122765e-05,2.4512588109375e-05,0.0003260327922673378,0.00011028479314495414,8.986938647249375e-05,0.00028672207334450397,9.391205420828531e-05,8.921621203007906e-05,8.868402337750744e-05
6.11258907930573,11.812759576376376,6.198638210264789,1.3148889567619992,2.0939281246529817,0.2124433476300662,1.051985023613227,4.234910926969262,2.2566510731203153,13.775228562580335,9.817679068850387,4.940525582657674,11.76921561086699,3.9278085362703656,0.030683204689467974,0.01550202365806496,0.009085751508053349,0.03970324149070995,0.006349222232309954,0.006977485591814357,0.007056235504595718,7.724069536499908,3.8969630442042145,0.016831772725179137,0.9939361400687672,0.9553056773064823,0.011228757732948244,0.012462032953298528,1.8977472525356343,0.018124282641020353,0.00021570292165064617,1.833792592828147,0.003891393150546963,0.00013479817817971961,0.0006881716585121363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.877286767237412,4.4879337046428525,4.998988219725846,3.4007293114342634,1.99698585967619,2.9994004207253258,1.2497078877626886,0.12271323276258915,0.012066295357142025,0.0010117802741530105,0.09927068856573783,0.0030141403238112038,0.0005995792746732097,0.00029211223731158187,1.9621517566683289,1.762151756668329,1.9621517566683289,1.362151756668329,0.7621517566683278,1.162151756668329,0.46215175666832775,0.03784824333167211,0.03784824333167211,0.03784824333167211,0.03784824333167211,0.03784824333167211,0.03784824333167211,0.03784824333167211,0.0020956462666324215,0.00035241244774909824,0.0001848599520721867,0.0017670353677329568,0.00021825477578679033,0.00017989146256704888,0.00017599510002172972,0.0010398926832180342,0.00011536789294154157,2.407556202349452e-05,0.0008654043503862758,4.455537562159703e-05,2.2961665993404637e-05,2.2316062531571356e-05,0.00043053829931029183,0.00011720479144361309,8.711966148075823e-05,0.0003710343765566956,9.294964580194857e-05,8.611998613669432e-05,8.5326257726945e-05
6.136876466898966,11.765854147880834,6.246462277754935,1.3900314639411462,2.1164576883271593,0.2643158186086511,1.0644449127511229,4.288728932905939,2.31941250285433,13.72043950569524,9.766716943686228,4.92557814092876,11.712146391552343,3.9097596576080904,0.03465835401568461,0.016709208032349508,0.00972797258411157,0.04406091670040219,0.0069041601082849525,0.0075401464319062635,0.007601961320489211,7.666580845770282,3.8755897734390534,0.023083676902239333,1.0046212700946573,0.9462643663353367,0.01581485307006662,0.01732574261824682,1.8731554004091315,0.02243436779342487,0.0002865670634807996,1.7945694055775774,0.0047956443004543185,0.00018279033702992968,0.0008677257020501294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8741512501469835,4.487263675776025,4.998834322078493,3.3997095653255025,1.996855344684038,2.9993112335561682,1.249656302839195,0.12584874985301847,0.012736324223968792,0.0011656779215069434,0.1002904346744984,0.0031446553159630393,0.0006887664438314454,0.0003436971608052323,1.9618469895266182,1.7618469895266182,1.9618469895266182,1.3618469895266183,0.7618469895266171,1.1618469895266184,0.4618469895266171,0.03815301047338275,0.03815301047338275,0.03815301047338275,0.03815301047338275,0.03815301047338275,0.03815301047338275,0.03815301047338275,0.0026897601997555574,0.0004324727368535771,0.0002123862066735499,0.002247131782670168,0.00025515740680524015,0.00020547064171718172,0.00020018334629352396,0.0010756071859862795,0.00012044283894081817,2.3752952670677882e-05,0.0008861506535087794,4.49233172576844e-05,2.2398338319207737e-05,2.1668296715026765e-05,0.0005348200972111614,0.00012457995028923471,8.463084305749921e-05,0.0004537211530878706,9.217536907557806e-05,8.323648637352991e-05,8.215553170979492e-05
6.160511222237774,11.719162818394494,6.293618193508206,1.4639465752017202,2.1386759771288855,0.31570227894926134,1.0767368597817475,4.341398416153365,2.3816745259630623,13.666343272163958,9.715826845923221,4.910800180054422,11.655568811161832,3.891929858331779,0.0374811015675079,0.01751375807878219,0.01012783462873073,0.04678237990773329,0.007241242783431659,0.007877410110130607,0.007913142844332912,7.611674147823353,3.8549905961232214,0.029547641260994108,1.0172161973860476,0.9376097334451565,0.02061623319404291,0.022371161680494522,1.848935112218004,0.026658301440430656,0.0003630584381130181,1.756228001581287,0.0056728665880984176,0.00023526658472911992,0.0010489773616447421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.871952980491728,4.486672434857984,4.99867808454801,3.399456443669212,1.9967454818520383,2.9992212147676143,1.249604420669595,0.12804701950827482,0.013327565142010552,0.001321915451990833,0.1005435563307889,0.0032545181479626184,0.0007787852323851797,0.0003955793304049296,1.9618260617096988,1.7618260617096988,1.9618260617096988,1.3618260617096989,0.7618260617096979,1.161826061709699,0.46182606170969775,0.038173938290302065,0.038173938290302065,0.038173938290302065,0.038173938290302065,0.038173938290302065,0.038173938290302065,0.038173938290302065,0.0032678009939011003,0.0005119754216904577,0.0002394873733999334,0.0027064379024138528,0.00029101261704048587,0.00023039450643718811,0.00022360061301095438,0.0010912422804039794,0.0001243551094381704,2.398207670823132e-05,0.000889811928665185,4.5403181279620843e-05,2.238908522405404e-05,2.1580749455396546e-05,0.0006373881034915201,0.0001322659764815158,8.239569977459057e-05,0.0005335966743799596,9.154893985677536e-05,8.05585641906357e-05,7.91649514676872e-05
6.1835819755753105,11.672704151241048,6.340117545915907,1.5366687904159113,2.1605908122292674,0.36660725460071286,1.0888654065517014,4.393006716735036,2.4434436544911913,13.612939026681264,9.665197982415824,4.896201533845505,11.599492263734282,3.874328314382458,0.03956462329206001,0.018082267956988387,0.010388715652781376,0.04847485166269462,0.00744895410877171,0.008082277685325238,0.008087131815323148,7.5587660900640765,3.8349722607451393,0.03610974733381184,1.0309102643712902,0.9292349957817938,0.02552614208280482,0.02748738759773981,1.825080594333521,0.030797665565623408,0.00044496441623672483,1.7187481111342897,0.0065237040346572146,0.0002920618968723823,0.001231759652776497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.870162078446815,4.486116214448181,4.9985218122001545,3.399516118881737,1.9966453681295517,2.999131800267679,1.2495529956513276,0.12983792155318902,0.013883785551812803,0.001478187799846408,0.10048388111826367,0.0033546318704492967,0.0008681997323205019,0.00044700434867232824,1.9619122287448356,1.7619122287448357,1.9619122287448356,1.3619122287448358,0.7619122287448347,1.1619122287448358,0.46191222874483434,0.03808777125516541,0.03808777125516541,0.03808777125516541,0.03808777125516541,0.03808777125516541,0.03808777125516541,0.03808777125516541,0.003827333253891949,0.0005905393284853825,0.0002660425256173938,0.0031433704086241514,0.00032565353789964667,0.0002545479340861898,0.0002461362821719369,0.0010969550932512257,0.00012760393145910899,2.4410431338926167e-05,0.000885167113961467,4.5857941995651856e-05,2.257836592102972e-05,2.1693395285802287e-05,0.0007376974408912626,0.00014019810722896837,8.040497071108081e-05,0.0006102848036056744,9.105037258319005e-05,7.807789453864162e-05,7.634705618132235e-05
6.206136301803051,11.62648652387351,6.38597030087839,1.6082243048297753,2.182207814385462,0.41703517361086356,1.1008336463573458,4.443603682255414,2.5047239856201564,13.56022142444508,9.6149236493506,4.881785049266922,11.543918233307275,3.856956894264591,0.04118865687859005,0.018514274501399263,0.010570775024232903,0.04953897026585784,0.0075815657409817536,0.008210866511557354,0.008182722999133434,7.507484949014025,3.8154211560222047,0.04270539979938208,1.0452028049587694,0.9210767516836549,0.030482682279111536,0.03261079298948309,1.8015864100489245,0.034854059982718635,0.0005320998529163365,1.6821102705950073,0.007348818922973614,0.0003530442911931044,0.0014159433894448137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.868578555321605,4.485578776322692,4.99836691686846,3.3997192632556996,1.9965510700123854,2.9990438506127384,1.249502449868352,0.13142144467839928,0.01442122367730172,0.0016330831315402332,0.1002807367443006,0.003448929987615436,0.0009561493872613235,0.0004975501316479254,1.9620403485956968,1.7620403485956968,1.9620403485956968,1.362040348595697,0.7620403485956959,1.162040348595697,0.46204034859569565,0.037959651404304164,0.037959651404304164,0.037959651404304164,0.037959651404304164,0.037959651404304164,0.037959651404304164,0.037959651404304164,0.004367770185909563,0.0006680266814003414,0.0002920179018395509,0.00355791157386693,0.0003590449146275415,0.00027790617068743274,0.0002677726582322049,0.001097832304815221,0.00013048568527317562,2.490792529510205e-05,0.0008766071905039652,4.6267429619538474e-05,2.2835916425692694e-05,2.1874926150097204e-05,0.000835555347638878,0.0001483412843262271,7.864794813185743e-05,0.000683705998425005,9.066715718440551e-05,7.57853659987372e-05,7.36941187920795e-05
6.228203405126667,11.580514060854128,6.431185765285703,1.678635501762217,2.2035317305206763,0.46699040287689925,1.1126441159424647,4.493222350325685,2.5655186127841234,13.508183557863239,9.565055317893492,4.867550929038917,11.488845317729321,3.839814794064241,0.0425298080537115,0.01886764320980386,0.01070808123158758,0.050222766954733766,0.0076708820120021766,0.008295715641283117,0.008233991223826873,7.457597122140322,3.796270608856129,0.049298304388846664,1.0597908237622855,0.9130975888146012,0.0354504693260247,0.03770568387372777,1.7784473143536208,0.03882907429580525,0.000624291230623454,1.6462955896272797,0.008148869613797223,0.00041809442647095245,0.0016014148957369148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.867124682951344,4.485053960849783,4.998214108574475,3.40000104246751,1.9964611158073309,2.998957780364079,1.249452977242325,0.13287531704866026,0.01494603915021025,0.0017858914255250123,0.0999989575324907,0.0035388841926700387,0.0010422196359200415,0.0005470227576746334,1.9621861802666638,1.7621861802666638,1.9621861802666638,1.362186180266664,0.7621861802666631,1.162186180266664,0.46218618026666275,0.03781381973333707,0.03781381973333707,0.03781381973333707,0.03781381973333707,0.03781381973333707,0.03781381973333707,0.03781381973333707,0.004889213201910478,0.0007443901905549802,0.00031740979594809096,0.003950605167372359,0.00039119878185649593,0.0003004761024644403,0.0002885249187187679,0.0010963527661471209,0.00013316004282935305,2.5426006805971544e-05,0.0008662662446270272,4.6637770856275914e-05,2.311378877073856e-05,2.2077466692965413e-05,0.0009309028483485806,0.0001566720077329369,7.711335208687697e-05,0.0007538899303089182,9.038972803169617e-05,7.367163373212653e-05,7.119843679421705e-05
