dateonunit_date,UnitName,Susceptible,Colonized,Infected,SusceptibleX,SusceptibleX_vanc,SusceptibleX_all,SusceptibleX_ppi,admission,discharge,coe_score,ltachsnf,loshrscalc,isolationorder4,female,age,inpatient_days_prior,inpatient_icu_days_prior,priorencounters365,HCW_contacts,practitioner_contacts,nursing_contacts,unknown_contacts,therapist_contacts,tech_contacts,other_contacts,hcwconnectionsnew,therapistconnsnew,practitionerconnsnew,nursingconnsnew,otherconnsnew,techconnsnew,unknownconnsnew,unknownconnsnew_vre365,techconnsnew_vre365,otherconnsnew_vre365,nursingconnsnew_vre365,therapistconnsnew_vre365,practitionerconnsnew_vre365,hcwconnectionsnew_vre365,N,transfer
8/23/1960,INTUnit2,14,8,2,12,4,12,15,1,7,0.0,0.0,133.0619049,0.208333328,1.0,68.0,3.113194375,2.0749999580000003,3.375,17.29166667,0.083333333,10.41666667,0.875,0.41666666700000005,5.083333333,0.41666666700000005,17.20833333,0.041666667000000004,0.0,9.0,0.0,7.375,0.791666667,0.333333333,3.5,0.0,3.458333333,0.041666667000000004,0.0,7.333333333,24,5.0
8/24/1960,INTUnit2,15,6,2,13,6,13,13,0,2,,0.0,124.01666259999999,0.304347813,,,,,4.652173996,20.95652174,0.043478261,13.95652174,1.3478260869999998,0.434782609,4.652173913,0.52173913,22.26086957,0.043478261,0.0,12.47826087,0.043478261,8.043478261,1.6521739130000002,0.565217391,2.173913043,0.0,3.217391304,0.0,0.0,5.956521738999999,23,3.0
8/25/1960,INTUnit2,16,5,3,14,6,14,14,1,4,0.0,0.0,111.16249850000001,0.25,1.0,70.0,5.474305542000001,,4.4166665080000005,19.0,0.125,11.83333333,1.041666667,0.375,5.041666667,0.583333333,22.16666667,0.083333333,0.0,10.75,0.333333333,10.0,1.0,0.291666667,2.791666667,0.166666667,2.708333333,0.0,0.0,5.958333333,24,2.0
8/26/1960,INTUnit2,14,6,3,13,6,13,13,1,3,1.0,0.0,79.18333435,0.21739129699999998,1.0,25.0,9.051388832999999,1.75902775,3.1304347519999998,17.39130435,0.0,11.0,2.260869565,0.260869565,3.826086957,0.043478261,20.17391304,0.130434783,0.0,10.86956522,0.0,6.739130435,2.434782609,1.217391304,2.826086957,0.0,4.391304348,0.086956522,0.0,8.52173913,23,2.0
8/27/1960,INTUnit2,14,6,3,11,6,11,9,3,2,1.3333333729999999,0.0,341.7999878,0.21739129699999998,0.333333343,52.66666794,0.524305542,,3.0869565010000004,16.34782609,0.21739130399999998,10.95652174,1.52173913,0.043478261,3.6086956519999998,0.0,22.57142857,0.0,0.0,12.71428571,0.0,7.80952381,2.047619048,0.9523809520000001,3.857142857,0.0,5.2380952380000005,0.0,0.0,10.04761905,23,-5.0
8/28/1960,INTUnit2,10,7,2,10,6,10,7,0,2,,0.0,428.75,0.263157904,,,,,3.631578922,20.15789474,0.10526315800000001,12.94736842,1.684210526,0.6315789470000001,3.894736842,0.894736842,20.78947368,0.052631579000000005,0.0,13.26315789,0.10526315800000001,5.1578947369999995,2.210526316,1.0,1.684210526,0.052631579000000005,6.473684211,0.052631579000000005,0.0,9.263157895,19,3.0
8/29/1960,INTUnit2,11,8,1,11,6,11,7,0,1,,0.050000000999999995,131.9499969,0.25,,,,,3.650000095,20.7,0.2,12.8,1.6,0.75,5.15,0.2,21.7,0.1,0.0,11.3,0.0,8.15,2.15,0.55,4.1,0.0,3.5,0.05,0.0,8.2,20,3.0
8/30/1960,INTUnit2,13,8,1,11,6,11,10,0,2,,0.045454547000000005,158.7666626,0.272727281,,,,,3.409090996,19.09090909,0.13636363599999998,13.13636364,1.363636364,0.590909091,3.454545455,0.409090909,22.36363636,0.13636363599999998,0.045454545,14.0,0.590909091,6.227272727000001,1.363636364,0.545454545,2.727272727,0.409090909,6.409090909,0.13636363599999998,0.0,10.22727273,22,2.0
8/31/1960,INTUnit2,13,9,0,9,3,9,10,1,1,0.0,0.045454547000000005,181.7833405,0.13636364,0.0,46.0,19.13402775,,3.409090996,20.86363636,0.090909091,13.72727273,0.772727273,1.0,4.6363636360000005,0.636363636,23.81818182,0.272727273,0.0,15.95454545,0.22727272699999998,5.954545455,1.4090909090000001,0.454545455,2.090909091,0.090909091,5.590909091,0.090909091,0.0,8.318181818,22,2.0
9/1/1960,INTUnit2,16,8,0,13,3,13,14,1,5,0.0,0.041666668,150.656662,0.166666672,1.0,68.0,6.90833325,2.0749999580000003,3.291666746,17.70833333,0.166666667,11.33333333,1.0,0.333333333,4.583333333,0.291666667,21.58333333,0.083333333,0.0,13.25,0.0,7.458333333,0.791666667,0.208333333,2.458333333,0.0,4.958333333,0.041666667000000004,0.0,7.666666667,24,2.0
9/2/1960,INTUnit2,14,8,0,12,3,12,15,0,2,,0.045454547000000005,62.375,0.09090909400000001,,,,,3.4545454980000003,18.68181818,0.090909091,13.18181818,0.545454545,0.090909091,4.681818182,0.090909091,22.31818182,0.0,0.0,12.54545455,0.0,9.181818182,0.590909091,0.045454545,3.1818181819999998,0.0,4.3636363639999995,0.0,0.0,7.590909091,22,2.0
9/3/1960,INTUnit2,13,9,0,10,3,10,14,0,0,,0.045454547000000005,,0.09090909400000001,,,,,3.5454545019999997,18.90909091,0.045454545,15.40909091,0.727272727,0.0,2.6818181819999998,0.045454545,26.54545455,0.0,0.0,20.59090909,0.0,5.0,0.954545455,0.090909091,2.772727273,0.0,8.090909091,0.0,0.0,10.95454545,22,1.0
9/4/1960,INTUnit2,14,9,0,11,3,11,15,0,4,,0.043478262000000004,260.0708313,0.08695652300000001,,,,,3.391304255,18.86956522,0.130434783,13.13043478,0.956521739,0.739130435,3.47826087,0.434782609,19.69565217,0.17391304300000002,0.0,15.04347826,0.0,3.3043478260000003,1.173913043,0.086956522,1.0,0.0,4.47826087,0.086956522,0.0,5.6521739129999995,23,6.0
9/5/1960,INTUnit2,18,6,1,13,4,13,16,3,6,0.0,0.039999999,132.64443970000002,0.119999997,0.666666687,65.66666412,5.8378472079999995,,2.359999895,18.04,0.12,10.8,1.28,0.8,4.4,0.64,19.96,0.36,0.0,11.64,0.08,6.8,1.08,0.12,2.24,0.0,2.48,0.2,0.0,5.04,25,1.0
9/6/1960,INTUnit2,17,6,0,13,5,13,15,2,5,0.0,0.0,118.046669,0.173913047,0.5,46.5,68.757986,37.9649305,2.2608695030000003,20.08695652,0.130434783,12.26086957,1.260869565,0.347826087,5.47826087,0.608695652,22.34782609,0.0,0.0,12.60869565,0.130434783,8.565217391000001,1.043478261,0.043478261,2.260869565,0.0,3.217391304,0.0,0.0,5.52173913,23,0.0
9/7/1960,INTUnit2,15,5,0,11,5,11,11,1,4,1.0,0.0,88.45833588,0.25,1.0,30.0,0.326388833,,2.400000095,18.5,0.2,12.45,0.95,0.5,3.9,0.5,21.84210526,0.052631579000000005,0.0,15.47368421,0.0,5.526315789,0.7894736840000001,0.052631579000000005,1.210526316,0.0,3.315789474,0.052631579000000005,0.0,4.6315789469999995,20,1.0
9/8/1960,INTUnit2,13,5,0,11,4,11,10,2,1,1.5,0.0,352.8166809,0.222222224,0.0,55.0,10.07847215,1.351736104,2.833333254,20.88888889,0.055555556,12.22222222,1.4444444440000002,0.8888888890000001,5.277777778,1.0,18.44444444,0.222222222,0.0,10.55555556,0.5,6.0,1.166666667,0.222222222,1.7777777780000001,0.111111111,2.277777778,0.055555556,0.0,4.444444444,18,0.0
9/9/1960,INTUnit2,15,4,0,14,4,14,10,0,6,,0.0,196.4694519,0.210526317,,,,,2.684210539,17.52631579,0.15789473699999998,13.0,1.105263158,0.0,3.157894737,0.10526315800000001,19.72222222,0.0,0.055555556,14.33333333,0.0,3.888888889,1.4444444440000002,0.38888888899999996,1.0555555559999998,0.0,2.611111111,0.0,0.055555556,4.1111111110000005,19,1.0
9/10/1960,INTUnit2,11,3,0,9,5,9,8,0,1,,0.0,111.16666409999998,0.357142866,,,,,2.785714388,16.07142857,0.0,11.78571429,1.142857143,0.0,3.142857143,0.0,15.57142857,0.0,0.0,11.57142857,0.0,3.357142857,0.642857143,0.14285714300000002,0.9285714290000001,0.0,1.571428571,0.0,0.0,2.642857143,14,4.0
9/11/1960,INTUnit2,13,4,0,8,5,8,9,4,1,1.0,0.0,90.6166687,0.294117659,0.5,59.25,9.382638833,3.0430555,2.4117646219999997,18.88235294,0.058823529000000006,10.94117647,1.2352941179999999,0.647058824,5.294117647,0.705882353,19.3125,0.0625,0.0,11.0,0.0625,7.0,1.1875,0.0625,1.5,0.0,2.0,0.0,0.0,3.5625,17,1.0
9/12/1960,INTUnit2,16,4,1,11,5,11,12,1,1,0.0,0.0,184.7333374,0.42857143299999995,0.0,60.0,7.634027708,2.1999999580000003,1.857142806,19.95238095,0.0,12.57142857,1.428571429,0.23809523800000001,5.19047619,0.523809524,19.95238095,0.0,0.0,11.04761905,0.047619048,7.523809524,1.333333333,0.19047619,1.761904762,0.0,2.19047619,0.0,0.0,4.1428571430000005,21,3.0
9/13/1960,INTUnit2,19,5,0,11,5,11,14,2,6,2.0,0.0,73.6361084,0.333333343,1.0,46.0,,,1.958333373,17.5,0.041666667000000004,10.79166667,1.166666667,0.25,4.625,0.625,16.0,0.041666667000000004,0.0,9.791666667000001,0.041666667000000004,4.916666667,1.208333333,0.125,0.833333333,0.0,2.083333333,0.0,0.0,3.041666667,24,3.0
9/14/1960,INTUnit2,19,4,0,12,4,12,13,3,7,0.0,0.0,202.0928497,0.260869563,0.666666687,53.0,8.737499957999999,0.788888875,2.391304255,17.7826087,0.043478261,11.30434783,1.1304347829999999,0.086956522,4.739130435,0.47826087,16.86956522,0.0,0.0,10.2173913,0.086956522,5.0869565219999995,1.47826087,0.043478261,0.826086957,0.0,1.3043478259999999,0.0,0.0,2.173913043,23,2.0
9/15/1960,INTUnit2,18,3,0,14,4,14,13,2,5,0.0,0.0,111.61333470000001,0.238095239,1.0,46.5,6.881249979,2.836805542,2.095238209,15.66666667,0.095238095,9.380952381,1.142857143,0.761904762,4.0,0.28571428600000004,12.0,0.19047619,0.0,7.666666667,0.047619048,3.285714286,0.80952381,0.095238095,0.047619048,0.0,0.428571429,0.095238095,0.0,0.666666667,21,0.0
9/16/1960,INTUnit2,16,2,0,12,3,12,10,1,1,9.0,0.0,63.36666489,0.277777791,0.0,70.0,0.59027775,,2.277777672,17.61111111,0.0,12.66666667,0.833333333,0.0,4.1111111110000005,0.0,22.88888889,0.0,0.0,15.33333333,0.0,7.055555556,0.5,0.0,1.0,0.0,1.388888889,0.0,0.0,2.388888889,18,6.0
9/17/1960,INTUnit2,22,2,0,18,7,18,13,0,8,,0.0,63.01666641,0.208333328,,,,,2.1666667459999998,15.91666667,0.0,10.75,1.25,0.0,3.916666667,0.0,22.25,0.0,0.0,13.75,0.0,6.75,1.75,0.041666667000000004,0.833333333,0.0,0.375,0.0,0.0,1.25,24,5.0
