,unit_1,unit_2,unit_3,unit_4,unit_5,unit_6,unit_7
psi_in,0.1773,0.0632,0.2679,0.1942,0.1009,0.109,0.048
psi_out,0.1763,0.1333,0.2704,0.1952,0.1029,0.1099,0.0636
n_in,0,0.0701,0.0025,0.001,0.002,0.0009,0.0156
n_out,0.001,0,0,0,0,0,0
