dateonunit_date,Susceptible,Colonized,Infected,SusceptibleX
8/11/1960,12,4,0,2
8/12/1960,6,3,0,8
8/13/1960,3,4,0,8
8/14/1960,5,5,0,10
8/15/1960,2,5,0,11
8/16/1960,2,4,0,14
8/17/1960,2,2,0,12
8/18/1960,1,3,0,13
8/19/1960,2,6,0,9
8/20/1960,3,7,0,10
8/21/1960,3,7,1,10
8/22/1960,3,8,1,11
8/23/1960,2,8,2,12
8/24/1960,2,6,2,13
8/25/1960,2,5,3,14
8/26/1960,1,6,3,13
8/27/1960,3,6,3,11
8/28/1960,0,7,2,10
8/29/1960,0,8,1,11
8/30/1960,2,8,1,11
8/31/1960,4,9,0,9
9/1/1960,3,8,0,13
9/2/1960,2,8,0,12
9/3/1960,3,9,0,10
9/4/1960,3,9,0,11
9/5/1960,5,6,1,13
9/6/1960,4,6,0,13
9/7/1960,4,5,0,11
9/8/1960,2,5,0,11
9/9/1960,1,4,0,14
9/10/1960,2,3,0,9
9/11/1960,5,4,0,8
9/12/1960,5,4,1,11
9/13/1960,8,5,0,11
9/14/1960,7,4,0,12
9/15/1960,4,3,0,14
9/16/1960,4,2,0,12
9/17/1960,4,2,0,18
9/18/1960,4,1,1,15
9/19/1960,5,3,1,12
9/20/1960,4,5,1,11
9/21/1960,3,4,1,12
9/22/1960,3,4,1,13
9/23/1960,4,5,0,12
9/24/1960,3,5,0,9
9/25/1960,2,6,0,14
9/26/1960,2,7,0,16
9/27/1960,2,7,0,15
9/28/1960,1,6,0,16
9/29/1960,2,4,0,15
9/30/1960,2,4,0,12
10/1/1960,3,6,0,14
10/2/1960,1,6,0,17
10/3/1960,2,6,0,15
10/4/1960,2,8,0,14
10/5/1960,3,8,0,15
10/6/1960,2,7,0,17
10/7/1960,3,6,0,14
10/8/1960,2,5,1,13
10/9/1960,2,5,1,14
10/10/1960,5,7,1,12
10/11/1960,4,6,0,14
10/12/1960,2,5,0,15
10/13/1960,2,8,0,16
10/14/1960,2,8,0,13
10/15/1960,1,6,0,15
10/16/1960,2,7,0,14
10/17/1960,2,8,0,15
10/18/1960,3,7,0,15
10/19/1960,4,4,0,14
10/20/1960,4,4,0,16
10/21/1960,3,4,0,18
10/22/1960,2,4,0,17
10/23/1960,2,4,0,17
10/24/1960,1,6,0,16
10/25/1960,2,7,0,17
10/26/1960,3,7,0,14
10/27/1960,5,6,0,16
10/28/1960,3,4,0,15
10/29/1960,4,2,0,16
10/30/1960,6,3,0,17
10/31/1960,7,4,0,16
11/1/1960,4,3,0,19
11/2/1960,3,4,0,16
11/3/1960,3,3,0,16
11/4/1960,5,3,0,13
11/5/1960,7,3,0,14
11/6/1960,6,2,0,16
11/7/1960,3,2,0,18
11/8/1960,2,3,0,15
11/9/1960,2,5,0,17
11/10/1960,3,6,0,16
11/11/1960,2,4,0,11
11/12/1960,3,3,0,13
11/13/1960,6,3,0,14
11/14/1960,5,5,0,13
