,INTUnit1,INTUnit2,INTUnit3,INTUnit4,INTUnit5,INTUnit6,INTUnit7
2/4/1962,3.0,0.0,2.0,1.0,2.0,1.0,0.0
2/5/1962,5.0,2.0,3.0,2.0,2.0,4.0,0.0
2/6/1962,4.0,2.0,13.0,5.0,3.0,6.0,0.0
2/7/1962,4.0,4.0,6.0,3.0,1.0,4.0,2.0
2/8/1962,4.0,1.0,6.0,5.0,4.0,5.0,1.0
2/9/1962,4.0,0.0,5.0,1.0,2.0,1.0,1.0
2/10/1962,4.0,0.0,4.0,2.0,3.0,2.0,0.0
2/11/1962,4.0,2.0,6.0,0.0,1.0,0.0,2.0
2/12/1962,1.0,2.0,9.0,7.0,5.0,5.0,1.0
2/13/1962,3.0,0.0,8.0,12.0,3.0,4.0,0.0
2/14/1962,5.0,0.0,8.0,7.0,5.0,3.0,1.0
2/15/1962,5.0,1.0,8.0,6.0,3.0,6.0,0.0
2/16/1962,3.0,0.0,4.0,3.0,1.0,1.0,1.0
2/17/1962,5.0,0.0,4.0,2.0,0.0,0.0,3.0
2/18/1962,3.0,0.0,8.0,8.0,4.0,5.0,0.0
2/19/1962,4.0,4.0,7.0,7.0,1.0,3.0,1.0
2/20/1962,2.0,1.0,8.0,7.0,6.0,6.0,5.0
2/21/1962,3.0,2.0,4.0,6.0,4.0,3.0,1.0
2/22/1962,3.0,1.0,8.0,7.0,4.0,5.0,2.0
2/23/1962,5.0,0.0,2.0,3.0,2.0,0.0,0.0
2/24/1962,5.0,1.0,3.0,1.0,0.0,1.0,1.0
2/25/1962,4.0,2.0,6.0,0.0,1.0,2.0,0.0
2/26/1962,3.0,3.0,9.0,4.0,2.0,3.0,0.0
2/27/1962,4.0,0.0,7.0,4.0,3.0,2.0,0.0
2/28/1962,4.0,2.0,8.0,8.0,3.0,4.0,1.0
3/1/1962,3.0,1.0,7.0,8.0,4.0,5.0,0.0
3/2/1962,6.0,1.0,4.0,4.0,1.0,0.0,1.0
3/3/1962,4.0,0.0,3.0,1.0,2.0,1.0,0.0
3/4/1962,5.0,0.0,8.0,8.0,4.0,5.0,0.0
3/5/1962,4.0,0.0,6.0,5.0,4.0,4.0,3.0
3/6/1962,3.0,1.0,9.0,4.0,2.0,2.0,0.0
3/7/1962,1.0,1.0,3.0,6.0,5.0,2.0,2.0
3/8/1962,5.0,1.0,8.0,8.0,5.0,3.0,0.0
3/9/1962,5.0,0.0,4.0,1.0,1.0,0.0,0.0
3/10/1962,3.0,0.0,3.0,0.0,2.0,1.0,2.0
3/11/1962,4.0,3.0,5.0,9.0,3.0,3.0,0.0
3/12/1962,4.0,1.0,5.0,6.0,3.0,2.0,1.0
3/13/1962,5.0,0.0,5.0,5.0,4.0,4.0,2.0
3/14/1962,2.0,0.0,6.0,7.0,3.0,4.0,0.0
3/15/1962,5.0,0.0,9.0,6.0,2.0,6.0,1.0
3/16/1962,4.0,1.0,2.0,1.0,0.0,2.0,1.0
3/17/1962,5.0,0.0,3.0,2.0,2.0,0.0,2.0
3/18/1962,2.0,1.0,5.0,7.0,4.0,3.0,0.0
3/19/1962,5.0,1.0,9.0,4.0,5.0,1.0,2.0
3/20/1962,5.0,1.0,7.0,6.0,5.0,1.0,1.0
3/21/1962,7.0,4.0,7.0,5.0,2.0,5.0,1.0
3/22/1962,4.0,1.0,8.0,5.0,4.0,6.0,1.0
3/23/1962,4.0,0.0,1.0,2.0,2.0,3.0,2.0
3/24/1962,4.0,0.0,2.0,3.0,1.0,1.0,0.0
3/25/1962,4.0,1.0,7.0,3.0,4.0,5.0,0.0
3/26/1962,5.0,3.0,9.0,5.0,2.0,2.0,0.0
3/27/1962,7.0,2.0,9.0,9.0,4.0,4.0,2.0
3/28/1962,2.0,0.0,8.0,4.0,4.0,5.0,2.0
3/29/1962,5.0,2.0,8.0,7.0,4.0,4.0,2.0
3/30/1962,2.0,3.0,3.0,0.0,1.0,2.0,1.0
3/31/1962,4.0,2.0,4.0,1.0,3.0,1.0,1.0
4/1/1962,6.0,2.0,11.0,4.0,2.0,5.0,1.0
4/2/1962,2.0,3.0,8.0,5.0,4.0,5.0,1.0
4/3/1962,3.0,3.0,8.0,6.0,3.0,2.0,1.0
4/4/1962,3.0,3.0,5.0,5.0,4.0,2.0,1.0
4/5/1962,5.0,2.0,7.0,8.0,5.0,4.0,0.0
4/6/1962,2.0,1.0,3.0,0.0,1.0,0.0,1.0
4/7/1962,4.0,1.0,5.0,0.0,0.0,0.0,1.0
4/8/1962,4.0,2.0,9.0,9.0,3.0,3.0,1.0
4/9/1962,5.0,6.0,11.0,5.0,2.0,3.0,0.0
4/10/1962,5.0,1.0,10.0,11.0,4.0,1.0,1.0
4/11/1962,5.0,2.0,9.0,5.0,5.0,3.0,2.0
4/12/1962,2.0,1.0,12.0,6.0,4.0,5.0,2.0
4/13/1962,1.0,0.0,2.0,1.0,1.0,0.0,2.0
4/14/1962,2.0,0.0,0.0,1.0,2.0,1.0,1.0
4/15/1962,4.0,1.0,10.0,6.0,4.0,4.0,2.0
4/16/1962,5.0,3.0,4.0,8.0,4.0,3.0,1.0
4/17/1962,1.0,3.0,7.0,5.0,4.0,4.0,1.0
4/18/1962,5.0,2.0,4.0,6.0,2.0,4.0,0.0
4/19/1962,3.0,1.0,5.0,2.0,4.0,5.0,0.0
4/20/1962,4.0,1.0,1.0,3.0,1.0,1.0,0.0
4/21/1962,5.0,1.0,4.0,0.0,0.0,0.0,0.0
4/22/1962,3.0,0.0,8.0,9.0,4.0,2.0,2.0
4/23/1962,2.0,3.0,8.0,4.0,2.0,1.0,2.0
4/24/1962,6.0,0.0,9.0,11.0,4.0,5.0,2.0
4/25/1962,3.0,1.0,2.0,5.0,3.0,4.0,3.0
4/26/1962,4.0,0.0,4.0,8.0,4.0,5.0,0.0
4/27/1962,4.0,0.0,4.0,0.0,4.0,1.0,0.0
4/28/1962,4.0,2.0,3.0,1.0,1.0,0.0,1.0
4/29/1962,5.0,2.0,10.0,8.0,2.0,3.0,2.0
4/30/1962,1.0,1.0,8.0,6.0,4.0,5.0,2.0
5/1/1962,9.0,3.0,6.0,8.0,4.0,2.0,0.0
5/2/1962,6.0,2.0,2.0,4.0,4.0,4.0,1.0
5/3/1962,7.0,4.0,12.0,3.0,9.0,3.0,1.0
5/4/1962,4.0,0.0,3.0,1.0,0.0,0.0,1.0
5/5/1962,3.0,2.0,5.0,0.0,2.0,0.0,1.0
5/6/1962,5.0,1.0,7.0,10.0,3.0,3.0,
5/7/1962,6.0,4.0,9.0,9.0,3.0,2.0,2.0
5/8/1962,4.0,0.0,10.0,8.0,2.0,4.0,1.0
5/9/1962,6.0,6.0,3.0,5.0,4.0,2.0,3.0
5/10/1962,2.0,1.0,9.0,5.0,5.0,2.0,1.0
5/11/1962,9.0,1.0,3.0,1.0,0.0,1.0,0.0
5/12/1962,3.0,0.0,3.0,1.0,1.0,0.0,4.0
5/13/1962,3.0,3.0,10.0,6.0,3.0,1.0,1.0
5/14/1962,3.0,0.0,10.0,5.0,2.0,2.0,1.0
5/15/1962,1.0,2.0,9.0,9.0,5.0,3.0,1.0
5/16/1962,2.0,1.0,6.0,5.0,0.0,3.0,2.0
5/17/1962,6.0,2.0,11.0,4.0,4.0,4.0,0.0
5/18/1962,5.0,1.0,4.0,1.0,1.0,0.0,0.0
5/19/1962,6.0,1.0,2.0,5.0,1.0,0.0,2.0
5/20/1962,2.0,4.0,10.0,7.0,2.0,3.0,2.0
5/21/1962,5.0,4.0,9.0,1.0,1.0,2.0,1.0
5/22/1962,3.0,1.0,9.0,10.0,6.0,3.0,1.0
5/23/1962,4.0,1.0,4.0,7.0,4.0,1.0,3.0
5/24/1962,5.0,2.0,5.0,8.0,6.0,5.0,0.0
5/25/1962,4.0,1.0,2.0,0.0,1.0,1.0,0.0
5/26/1962,4.0,0.0,3.0,3.0,1.0,0.0,0.0
5/27/1962,1.0,2.0,9.0,7.0,1.0,3.0,0.0
5/28/1962,7.0,7.0,8.0,6.0,2.0,5.0,3.0
5/29/1962,2.0,2.0,9.0,8.0,2.0,2.0,2.0
5/30/1962,1.0,3.0,6.0,7.0,2.0,3.0,2.0
5/31/1962,4.0,3.0,11.0,6.0,0.0,3.0,0.0
6/1/1962,4.0,0.0,4.0,2.0,1.0,1.0,0.0
6/2/1962,2.0,1.0,5.0,1.0,1.0,2.0,3.0
6/3/1962,7.0,0.0,11.0,4.0,2.0,6.0,1.0
6/4/1962,6.0,4.0,9.0,11.0,6.0,1.0,1.0
6/5/1962,4.0,5.0,8.0,2.0,3.0,3.0,1.0
6/6/1962,6.0,2.0,9.0,8.0,4.0,5.0,2.0
6/7/1962,2.0,2.0,6.0,7.0,1.0,4.0,2.0
6/8/1962,6.0,2.0,1.0,1.0,3.0,0.0,0.0
6/9/1962,6.0,1.0,6.0,2.0,0.0,2.0,2.0
6/10/1962,6.0,4.0,9.0,5.0,0.0,0.0,1.0
6/11/1962,7.0,3.0,9.0,4.0,3.0,0.0,5.0
6/12/1962,1.0,3.0,9.0,7.0,5.0,7.0,0.0
6/13/1962,4.0,0.0,10.0,6.0,2.0,5.0,1.0
6/14/1962,4.0,2.0,8.0,3.0,6.0,4.0,3.0
6/15/1962,4.0,0.0,4.0,4.0,2.0,1.0,1.0
6/16/1962,5.0,1.0,5.0,1.0,1.0,0.0,1.0
6/17/1962,4.0,2.0,11.0,4.0,3.0,6.0,2.0
6/18/1962,3.0,6.0,10.0,5.0,4.0,3.0,1.0
6/19/1962,2.0,3.0,7.0,5.0,2.0,4.0,0.0
6/20/1962,5.0,4.0,6.0,7.0,2.0,3.0,3.0
6/21/1962,2.0,1.0,8.0,3.0,1.0,4.0,0.0
6/22/1962,2.0,1.0,1.0,1.0,2.0,1.0,0.0
6/23/1962,2.0,3.0,2.0,1.0,1.0,1.0,2.0
6/24/1962,3.0,3.0,7.0,8.0,2.0,5.0,3.0
6/25/1962,3.0,4.0,12.0,6.0,2.0,3.0,3.0
6/26/1962,3.0,4.0,10.0,7.0,2.0,3.0,4.0
6/27/1962,4.0,3.0,6.0,6.0,2.0,3.0,2.0
6/28/1962,4.0,3.0,6.0,6.0,1.0,4.0,2.0
6/29/1962,4.0,2.0,5.0,0.0,3.0,0.0,0.0
6/30/1962,2.0,0.0,3.0,2.0,0.0,0.0,3.0
7/1/1962,5.0,1.0,8.0,8.0,3.0,4.0,2.0
7/2/1962,5.0,1.0,11.0,5.0,3.0,4.0,1.0
7/3/1962,3.0,2.0,9.0,6.0,0.0,3.0,0.0
7/4/1962,5.0,1.0,9.0,4.0,5.0,3.0,1.0
7/5/1962,5.0,2.0,8.0,3.0,5.0,5.0,2.0
7/6/1962,3.0,2.0,3.0,3.0,2.0,0.0,2.0
7/7/1962,6.0,0.0,2.0,2.0,3.0,3.0,0.0
7/8/1962,2.0,2.0,2.0,0.0,1.0,0.0,2.0
7/9/1962,2.0,2.0,11.0,8.0,2.0,2.0,3.0
7/10/1962,3.0,0.0,11.0,5.0,4.0,4.0,0.0
7/11/1962,2.0,0.0,7.0,5.0,2.0,6.0,2.0
7/12/1962,5.0,0.0,8.0,3.0,4.0,4.0,0.0
7/13/1962,4.0,1.0,1.0,3.0,0.0,0.0,3.0
7/14/1962,3.0,1.0,5.0,0.0,0.0,1.0,2.0
7/15/1962,3.0,2.0,8.0,6.0,1.0,3.0,1.0
7/16/1962,3.0,4.0,8.0,4.0,2.0,2.0,1.0
7/17/1962,3.0,4.0,10.0,6.0,3.0,3.0,0.0
7/18/1962,1.0,2.0,8.0,6.0,2.0,3.0,1.0
7/19/1962,4.0,2.0,5.0,7.0,3.0,6.0,3.0
7/20/1962,4.0,3.0,1.0,2.0,1.0,1.0,1.0
7/21/1962,5.0,2.0,1.0,1.0,2.0,1.0,1.0
7/22/1962,4.0,3.0,10.0,6.0,2.0,3.0,3.0
7/23/1962,8.0,4.0,11.0,5.0,1.0,1.0,0.0
7/24/1962,4.0,1.0,10.0,7.0,2.0,4.0,2.0
7/25/1962,8.0,5.0,6.0,7.0,3.0,5.0,1.0
7/26/1962,3.0,2.0,8.0,6.0,2.0,7.0,3.0
7/27/1962,3.0,1.0,1.0,1.0,1.0,0.0,0.0
7/28/1962,4.0,1.0,3.0,1.0,0.0,0.0,2.0
7/29/1962,3.0,2.0,11.0,5.0,4.0,2.0,2.0
7/30/1962,3.0,1.0,11.0,11.0,2.0,2.0,0.0
7/31/1962,5.0,2.0,6.0,8.0,2.0,4.0,2.0
8/1/1962,3.0,4.0,6.0,5.0,2.0,2.0,2.0
8/2/1962,4.0,1.0,9.0,8.0,2.0,2.0,2.0
8/3/1962,4.0,1.0,3.0,1.0,0.0,0.0,0.0
8/4/1962,7.0,2.0,4.0,3.0,0.0,0.0,1.0
8/5/1962,4.0,0.0,4.0,7.0,3.0,3.0,0.0
8/6/1962,2.0,0.0,13.0,8.0,0.0,5.0,1.0
8/7/1962,6.0,1.0,7.0,4.0,0.0,4.0,1.0
8/8/1962,4.0,1.0,7.0,2.0,1.0,2.0,0.0
8/9/1962,4.0,1.0,10.0,7.0,1.0,4.0,1.0
8/10/1962,6.0,1.0,5.0,0.0,1.0,1.0,1.0
