,INTUnit1,INTUnit2,INTUnit3,INTUnit4,INTUnit5,INTUnit6,INTUnit7
10/18/1960,3.0,2.0,,,,,
10/19/1960,4.0,4.0,,,,,
10/20/1960,8.0,3.0,,,,,
10/21/1960,2.0,0.0,,,,,
10/22/1960,7.0,0.0,,,,,
10/23/1960,5.0,0.0,,,,,
10/24/1960,2.0,3.0,,,,,
10/25/1960,5.0,2.0,,,,,
10/26/1960,5.0,0.0,,,,,
10/27/1960,6.0,2.0,,,,,
10/28/1960,6.0,0.0,,,,,
10/29/1960,5.0,1.0,,,,,
10/30/1960,3.0,4.0,,,,,
10/31/1960,3.0,3.0,,,,,
11/1/1960,3.0,2.0,,,,,
11/2/1960,4.0,0.0,,,,,
11/3/1960,2.0,0.0,,,,,
11/4/1960,7.0,1.0,,,,,
11/5/1960,8.0,2.0,,,,,
11/6/1960,3.0,1.0,,,,,
11/7/1960,3.0,0.0,,,,,
11/8/1960,5.0,1.0,,,,,
11/9/1960,3.0,2.0,,,,,
11/10/1960,4.0,3.0,,,,,
11/11/1960,4.0,0.0,,,,,
11/12/1960,6.0,1.0,,,,,
11/13/1960,6.0,3.0,,,,,
11/14/1960,5.0,2.0,,,,,
11/15/1960,5.0,1.0,,,,,
11/16/1960,3.0,2.0,,,,,
11/17/1960,4.0,4.0,,,,,
11/18/1960,7.0,2.0,,,,,
11/19/1960,5.0,0.0,,,,,
11/20/1960,4.0,0.0,,,,,
11/21/1960,7.0,1.0,,,,,
11/22/1960,7.0,4.0,,,,,
11/23/1960,4.0,0.0,,,,,
11/24/1960,4.0,0.0,,,,,
11/25/1960,3.0,0.0,,,,,
11/26/1960,5.0,1.0,,,,,
11/27/1960,2.0,0.0,,,,,
11/28/1960,5.0,2.0,,,,,
11/29/1960,2.0,1.0,,,,,
11/30/1960,5.0,1.0,,,,,
12/1/1960,5.0,2.0,,,,,
12/2/1960,2.0,0.0,,,,,
12/3/1960,5.0,0.0,,,,,
12/4/1960,3.0,3.0,,,,,
12/5/1960,3.0,1.0,,,,,
12/6/1960,3.0,2.0,,,,,
12/7/1960,7.0,0.0,,,,,
12/8/1960,5.0,0.0,,,,,
12/9/1960,4.0,0.0,,,,,
12/10/1960,4.0,0.0,,,,,
12/11/1960,5.0,2.0,,,,,
12/12/1960,7.0,1.0,,,,,
12/13/1960,6.0,3.0,,,,,
12/14/1960,5.0,1.0,,,,,
12/15/1960,7.0,3.0,,,,,
12/16/1960,4.0,0.0,,,,,
12/17/1960,6.0,1.0,,,,,
12/18/1960,5.0,1.0,,,,,
12/19/1960,4.0,2.0,,,,,
12/20/1960,5.0,1.0,,,,,
12/21/1960,3.0,3.0,,,,,
12/22/1960,6.0,2.0,,,,,
12/23/1960,5.0,2.0,,,,,
12/24/1960,3.0,0.0,,,,,
12/25/1960,6.0,1.0,,,,,
12/26/1960,4.0,3.0,,,,,
12/27/1960,6.0,0.0,,,,,
12/28/1960,7.0,1.0,,,,,
12/29/1960,7.0,3.0,,,,,
12/30/1960,3.0,1.0,,,,,
12/31/1960,6.0,0.0,,,,,
1/1/1961,3.0,7.0,,,,,
1/2/1961,6.0,5.0,,,,,
1/3/1961,5.0,3.0,,,,,
1/4/1961,4.0,1.0,,,,,
1/5/1961,2.0,3.0,,,,,
1/6/1961,4.0,2.0,,,,,
1/7/1961,6.0,0.0,,,,,
1/8/1961,6.0,1.0,,,,,
1/9/1961,4.0,3.0,,,,,
1/10/1961,6.0,2.0,,,,,
1/11/1961,3.0,1.0,,,,,
1/12/1961,7.0,1.0,,,,,
1/13/1961,5.0,1.0,,,,,
1/14/1961,4.0,1.0,,,,,
1/15/1961,5.0,2.0,,,,,
1/16/1961,4.0,0.0,,,,,
1/17/1961,2.0,4.0,,,,,
1/18/1961,5.0,2.0,,,,,
1/19/1961,4.0,1.0,,,,,
1/20/1961,6.0,1.0,,,,,
1/21/1961,2.0,0.0,,,,,
1/22/1961,3.0,1.0,,,,,
1/23/1961,5.0,4.0,,,,,
1/24/1961,5.0,1.0,,,,,
1/25/1961,5.0,1.0,,,,,
1/26/1961,3.0,2.0,,,,,
1/27/1961,6.0,3.0,,,,,
1/28/1961,3.0,0.0,,,,,
1/29/1961,4.0,1.0,,,,,
1/30/1961,5.0,4.0,,,,,
1/31/1961,8.0,2.0,,,,,
2/1/1961,3.0,3.0,,,,,
2/2/1961,7.0,4.0,,,,,
2/3/1961,6.0,2.0,,,,,
2/4/1961,5.0,0.0,,,,,
2/5/1961,3.0,2.0,,,,,
2/6/1961,4.0,2.0,,,,,
2/7/1961,4.0,2.0,,,,,
2/8/1961,5.0,2.0,,,,,
2/9/1961,8.0,2.0,,,,,
2/10/1961,4.0,0.0,,,,,
2/11/1961,3.0,0.0,,,,,
2/12/1961,4.0,0.0,,,,,
2/13/1961,4.0,2.0,,,,,
2/14/1961,5.0,1.0,,,,,
2/15/1961,4.0,0.0,,,,,
2/16/1961,4.0,3.0,,,,,
2/17/1961,3.0,0.0,,,,,
2/18/1961,2.0,1.0,,,,,
2/19/1961,6.0,2.0,,,,,
2/20/1961,4.0,5.0,,,,,
2/21/1961,6.0,5.0,,,,,
2/22/1961,2.0,0.0,,,,,
2/23/1961,6.0,1.0,,,,,
2/24/1961,5.0,1.0,,,,,
2/25/1961,4.0,0.0,,,,,
2/26/1961,4.0,0.0,,,,,
2/27/1961,6.0,3.0,,,,,
2/28/1961,4.0,1.0,,,,,
3/1/1961,4.0,4.0,,,,,
3/2/1961,5.0,4.0,,,,,
3/3/1961,3.0,2.0,,,,,
3/4/1961,6.0,2.0,,,,,
3/5/1961,5.0,1.0,,,,,
3/6/1961,3.0,7.0,,,,,
3/7/1961,5.0,2.0,,,,,
3/8/1961,1.0,2.0,,,,,
3/9/1961,3.0,2.0,,,,,
3/10/1961,8.0,3.0,,,,,
3/11/1961,3.0,2.0,,,,,
3/12/1961,5.0,1.0,,,,,
3/13/1961,3.0,1.0,,,,,
3/14/1961,8.0,0.0,,,,,
3/15/1961,4.0,2.0,,,,,
3/16/1961,2.0,1.0,,,,,
3/17/1961,7.0,1.0,,,,,
3/18/1961,4.0,0.0,,,,,
3/19/1961,5.0,1.0,,,,,
3/20/1961,4.0,0.0,,,,,
3/21/1961,6.0,0.0,,,,,
3/22/1961,8.0,1.0,,,,,
3/23/1961,4.0,1.0,,,,,
3/24/1961,2.0,2.0,,,,,
3/25/1961,5.0,1.0,,,,,
3/26/1961,4.0,1.0,,,,,
3/27/1961,4.0,0.0,,,,,
3/28/1961,6.0,1.0,,,,,
3/29/1961,5.0,2.0,,,,,
3/30/1961,6.0,1.0,,,,,
3/31/1961,6.0,0.0,,,,,
4/1/1961,1.0,0.0,,,,,
4/2/1961,5.0,0.0,,,,,
4/3/1961,3.0,2.0,,,,,
4/4/1961,8.0,2.0,,,,,
4/5/1961,8.0,2.0,,,,,
4/6/1961,3.0,2.0,,,,,
4/7/1961,6.0,1.0,,,,,
4/8/1961,5.0,0.0,,,,,
4/9/1961,7.0,1.0,,,,,
4/10/1961,6.0,3.0,,,,,
4/11/1961,7.0,0.0,,,,,
4/12/1961,9.0,2.0,,,,,
4/13/1961,7.0,0.0,,,,,
4/14/1961,2.0,3.0,,,,,
4/15/1961,8.0,0.0,,,,,
4/16/1961,2.0,0.0,,,,,
4/17/1961,6.0,3.0,,,,,
4/18/1961,5.0,1.0,,,,,
4/19/1961,5.0,1.0,,,,,
4/20/1961,6.0,0.0,,,,,
4/21/1961,3.0,0.0,,,,,
4/22/1961,3.0,1.0,,,,,
4/23/1961,5.0,0.0,,,,,
4/24/1961,6.0,0.0,,,,,
4/25/1961,4.0,0.0,,,,,
4/26/1961,6.0,0.0,,,,,
4/27/1961,6.0,1.0,,,,,
4/28/1961,3.0,0.0,,,,,
4/29/1961,5.0,0.0,,,,,
4/30/1961,5.0,2.0,,,,,
5/1/1961,4.0,1.0,,,,,
5/2/1961,5.0,1.0,,,,,
5/3/1961,7.0,0.0,,,,,
5/4/1961,5.0,6.0,,,,,
5/5/1961,4.0,2.0,,,,,
5/6/1961,5.0,0.0,,,,,
5/7/1961,6.0,0.0,,,,,
5/8/1961,2.0,3.0,,,,,
5/9/1961,5.0,1.0,,,,,
5/10/1961,2.0,2.0,,,,,
5/11/1961,5.0,4.0,,,,,
5/12/1961,4.0,0.0,,,,,
5/13/1961,3.0,0.0,,,,,
5/14/1961,2.0,2.0,,,,,
5/15/1961,6.0,3.0,,,,,
5/16/1961,2.0,0.0,,,,,
5/17/1961,4.0,3.0,,,,,
5/18/1961,5.0,1.0,,,,,
5/19/1961,2.0,1.0,,,,,
5/20/1961,5.0,0.0,,,,,
5/21/1961,0.0,0.0,,,,,
5/22/1961,7.0,1.0,,,,,
5/23/1961,5.0,1.0,,,,,
5/24/1961,7.0,2.0,,,,,
5/25/1961,5.0,2.0,,,,,
5/26/1961,8.0,1.0,,,,,
5/27/1961,3.0,0.0,,,,,
5/28/1961,5.0,1.0,,,,,
5/29/1961,4.0,0.0,,,,,
5/30/1961,1.0,1.0,,,,,
5/31/1961,6.0,1.0,,,,,
6/1/1961,5.0,3.0,,,,,
6/2/1961,7.0,3.0,,,,,
6/3/1961,1.0,1.0,,,,,
6/4/1961,6.0,0.0,,,,,
6/5/1961,2.0,4.0,,,,,
6/6/1961,6.0,2.0,,,,,
6/7/1961,5.0,2.0,,,,,
6/8/1961,4.0,3.0,,,,,
6/9/1961,6.0,1.0,,,,,
6/10/1961,3.0,0.0,,,,,
6/11/1961,4.0,1.0,,,,,
6/12/1961,4.0,2.0,,,,,
6/13/1961,6.0,2.0,,,,,
6/14/1961,4.0,2.0,,,,,
6/15/1961,4.0,4.0,,,,,
6/16/1961,2.0,1.0,,,,,
6/17/1961,3.0,0.0,,,,,
6/18/1961,5.0,1.0,,,,,
6/19/1961,6.0,5.0,,,,,
6/20/1961,6.0,2.0,,,,,
6/21/1961,4.0,0.0,,,,,
6/22/1961,4.0,2.0,,,,,
6/23/1961,2.0,1.0,,,,,
6/24/1961,7.0,0.0,,,,,
6/25/1961,3.0,2.0,,,,,
6/26/1961,6.0,1.0,,,,,
6/27/1961,4.0,7.0,,,,,
6/28/1961,1.0,0.0,,,,,
6/29/1961,5.0,2.0,,,,,
6/30/1961,5.0,3.0,,,,,
7/1/1961,4.0,2.0,,,,,
7/2/1961,6.0,2.0,,,,,
7/3/1961,5.0,1.0,,,,,
7/4/1961,4.0,0.0,,,,,
7/5/1961,5.0,1.0,,,,,
7/6/1961,6.0,1.0,,,,,
7/7/1961,7.0,1.0,,,,,
7/8/1961,4.0,0.0,,,,,
7/9/1961,4.0,0.0,,,,,
7/10/1961,4.0,1.0,,,,,
7/11/1961,4.0,3.0,,,,,
7/12/1961,3.0,2.0,,,,,
7/13/1961,8.0,2.0,,,,,
7/14/1961,2.0,3.0,,,,,
7/15/1961,4.0,0.0,,,,,
