dateonunit_date,UnitName,Susceptible,Colonized,Infected,SusceptibleX,SusceptibleX_vanc,SusceptibleX_all,SusceptibleX_ppi,admission,discharge,coe_score,ltachsnf,loshrscalc,isolationorder4,female,age,inpatient_days_prior,inpatient_icu_days_prior,priorencounters365,HCW_contacts,practitioner_contacts,nursing_contacts,unknown_contacts,therapist_contacts,tech_contacts,other_contacts,hcwconnectionsnew,therapistconnsnew,practitionerconnsnew,nursingconnsnew,otherconnsnew,techconnsnew,unknownconnsnew,unknownconnsnew_vre365,techconnsnew_vre365,otherconnsnew_vre365,nursingconnsnew_vre365,therapistconnsnew_vre365,practitionerconnsnew_vre365,hcwconnectionsnew_vre365,N,transfer
8/11/1961,INTUnit5,7,1,0,5,3,5,5,0,1,,0.125,28.33333397,0.125,,,,,2.5,26.25,0.0,19.375,0.0,2.875,4.0,0.0,9.875,1.375,0.0,7.125,0.0,1.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,8,1.0
8/12/1961,INTUnit5,7,1,0,6,3,6,6,1,3,1.0,0.125,89.44999695,0.125,0.0,59.0,,,2.5,32.875,0.5,24.0,0.0,3.375,2.875,2.125,9.0,1.625,0.0,6.75,0.0,0.625,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.5,8,1.0
8/13/1961,INTUnit5,6,1,0,5,3,5,5,2,0,0.0,0.14285714900000002,,0.14285714900000002,0.5,74.0,,,3.142857075,36.28571429,2.5714285709999998,26.28571429,0.14285714300000002,4.8571428569999995,1.142857143,1.285714286,3.857142857,2.285714286,0.0,1.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.28571428600000004,0.14285714300000002,0.0,0.428571429,7,0.0
8/14/1961,INTUnit5,8,1,0,7,5,7,7,2,2,4.5,0.111111112,21.375,0.222222224,0.5,74.0,2.9840277289999997,1.011111083,3.4444444180000002,31.22222222,2.888888889,21.0,0.666666667,3.333333333,3.333333333,0.0,7.777777778,2.444444444,1.111111111,3.5555555560000003,0.0,0.666666667,0.0,0.0,0.111111111,0.0,0.333333333,0.0,0.0,0.444444444,9,1.0
8/15/1961,INTUnit5,9,1,0,8,7,8,9,3,3,0.666666687,0.10000000099999999,87.3666687,0.300000012,0.666666687,64.66666412,,,3.0,30.0,0.1,22.4,0.1,3.4,3.2,0.8,8.555555556,1.111111111,0.0,5.8888888889999995,0.333333333,1.222222222,0.0,0.0,0.0,0.0,0.666666667,0.111111111,0.0,0.7777777779999999,10,-3.0
8/16/1961,INTUnit5,7,0,0,6,6,6,6,0,1,,0.0,19.03333282,0.28571429800000003,,,,,1.0,35.57142857,0.571428571,25.57142857,0.0,4.0,3.857142857,1.571428571,7.142857143,1.0,0.14285714300000002,5.285714286,0.14285714300000002,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4.0
8/17/1961,INTUnit5,9,1,0,9,7,9,5,4,0,0.75,0.10000000099999999,,0.200000003,0.25,52.0,41.707291600000005,32.05208329,2.299999952,32.6,4.2,21.1,0.1,4.1,1.9,1.2,5.9,2.1,0.7,2.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,-2.0
8/18/1961,INTUnit5,11,1,0,11,7,11,7,2,4,0.0,0.083333336,28.29166603,0.166666672,0.0,46.5,2.469444417,,2.0833332540000002,31.25,1.6666666669999999,22.41666667,0.41666666700000005,3.083333333,2.666666667,1.0,7.833333333,2.583333333,0.166666667,4.833333333,0.0,0.25,0.0,0.0,0.0,0.0,0.41666666700000005,0.083333333,0.0,0.5,12,-1.0
8/19/1961,INTUnit5,8,1,0,8,5,8,8,1,2,0.0,0.111111112,329.2166443,0.222222224,0.0,78.0,,,1.5555555819999998,33.77777778,0.0,26.22222222,0.333333333,3.777777778,3.4444444439999997,0.0,7.555555556,2.555555556,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7777777779999999,0.0,0.0,0.7777777779999999,9,0.0
8/20/1961,INTUnit5,8,0,0,7,4,7,6,1,1,0.0,0.0,50.13333511,0.25,1.0,58.0,,,1.0,36.5,0.25,28.75,0.125,3.375,2.375,1.625,13.625,2.25,0.0,10.75,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4.0
