UnitName,start_date,end_date,Susceptible,Colonized,Infected,SusceptibleX,SusceptibleX_vanc,SusceptibleX_all,SusceptibleX_ppi,admission,discharge,coe_score,ltachsnf,loshrscalc,isolationorder4,female,age,inpatient_days_prior,inpatient_icu_days_prior,priorencounters365,HCW_contacts,practitioner_contacts,nursing_contacts,unknown_contacts,therapist_contacts,tech_contacts,other_contacts,hcwconnectionsnew,therapistconnsnew,practitionerconnsnew,nursingconnsnew,otherconnsnew,techconnsnew,unknownconnsnew,unknownconnsnew_vre365,techconnsnew_vre365,otherconnsnew_vre365,nursingconnsnew_vre365,therapistconnsnew_vre365,practitionerconnsnew_vre365,hcwconnectionsnew_vre365,N,susceptible_rate,highly_sucheptible_rate,colonized_rate,infected_rate
INTUnit1,8/11/1960,8/10/1962,19.11369863,4.9,0.324657534,15.5739726,11.09589041,15.5739726,13.62465753,4.256164384,4.230136986,2.193556494,0.080363496,113.2533038,0.421775386,0.480234504,55.30798344,18.81408229,7.301143349,3.130027976,33.82449454,1.259397021,25.07866415,0.3387592,4.110936794,2.511965039,0.524772337,11.60934597,2.974664913,0.254216409,7.011594011,0.105998691,1.229935564,0.028297162,0.006326833,0.296142815,0.021282036,1.374586001,0.641812477,0.050398764,2.391561223,24.33835616,0.145438172,0.639894186,0.201328305,0.013339337
INTUnit2,8/11/1960,8/10/1962,17.35616438,5.763013699,0.250684932,14.55479452,6.068493151,14.55479452,14.8890411,1.517808219,3.198630137,1.106491885,0.091125662,137.996692,0.222317146,0.445889069,53.81778138,23.4588622,4.95512174,4.772510777,17.67217633,0.185928826,11.79989509,1.130809451,0.543130254,3.703560231,0.30885248,18.99444668,0.115129919,0.013042339,11.72886741,0.062498436,5.82694234,1.247966236,0.252951445,1.441160658,0.014679137,2.741588897,0.037909634,0.003528741,4.491818512,23.36986301,0.119871043,0.622801876,0.246600234,0.010726846
INTUnit3,8/11/1961,8/10/1962,23.62465753,0.964383562,0.02739726,17.7369863,8.416438356,17.7369863,13.93150685,6.430136986,6.490410959,0.481593564,0.058882909,67.49531898,0.102380744,0.51965635,56.59361551,10.86265541,4.522668999,2.834760512,27.40628097,1.68974982,18.82028526,0.305408276,2.523973111,3.377842153,0.689022352,9.766612017,1.787530343,0.202228945,5.72574872,0.072215626,1.972799482,0.005588542,0,0.076224496,0.003905705,0.212926068,0.099601259,0.008038494,0.400696022,24.61643836,0.239176405,0.720534224,0.039176405,0.001112966
INTUnit4,8/11/1961,8/10/1962,16.78630137,1.068493151,0.232876712,11.41643836,5.309589041,11.41643836,6.484931507,4.660273973,4.684931507,0.363770055,0.047958404,76.31960045,0.12444348,0.491685984,60.4812331,12.11280288,7.156191719,4.650525944,30.69369853,1.357825754,23.05971192,0.324087876,2.390048797,2.631610763,0.930413422,8.868766854,1.853911185,0.080187648,5.790649493,0.051390658,1.091835051,0.000792819,0,0.069181294,0.006862037,0.341629376,0.194396545,0.004890526,0.616959778,18.08767123,0.296879733,0.631172372,0.059073008,0.012874886
INTUnit5,8/11/1961,8/10/1962,8.632876712,0.734246575,0.128767123,6.553424658,3.446575342,6.553424658,4.317808219,2.421917808,2.468493151,0.6194201,0.050160282,63.97964699,0.147885473,0.411985104,58.53320913,12.82587648,5.196947448,3.420300549,33.21417717,2.044760856,24.03958483,0.290504746,3.214240333,2.57358636,1.051500045,6.912229893,1.731937765,0.244878516,4.278377999,0.039196557,0.614567761,0.003271295,0,0.061018183,0.005852557,0.311511776,0.202331177,0.020634921,0.601348613,9.495890411,0.21898442,0.690132718,0.077322562,0.0135603
INTUnit6,8/11/1961,8/10/1962,12.10684932,0.268493151,0.008219178,11.50136986,9.589041096,11.50136986,10.68767123,2.616438356,2.638356164,0.363431015,0.003633459,81.6540508,0.126271242,0.323370729,60.8270223,8.598374475,3.679502411,3.308494051,38.45842661,2.448752492,27.57353548,0.235592016,4.72820443,1.024614633,2.44772755,6.58691378,3.337359146,0.057065923,2.869585039,0.14375344,0.175295936,0.003854296,0,0.001139378,0.001470402,0.03481219,0.049951844,0.00053816,0.087911974,12.38356164,0.048893805,0.928761062,0.021681416,0.000663717
INTUnit7,8/11/1961,8/10/1962,4.107142857,0.711538462,0.046703297,2.788461538,1.126373626,2.788461538,3.010989011,1.151098901,1.527472527,1.204444445,0.104101257,54.23709574,0.175050151,0.455490197,52.48450976,19.37638882,5.229150521,3.308682193,24.91924712,0.516002747,19.1353905,1.028661913,1.303424254,2.173002791,0.762764914,9.850543839,0.115512667,0.000696379,8.596050537,0.03388712,0.951150683,0.153246452,0.013954105,0.108774373,0.003647699,1.128100544,0.022900915,0,1.277377636,4.865384615,0.271033315,0.57312253,0.146245059,0.009599097
total,8/11/1961,8/10/1962,101.7276908,14.4101686,1.019306036,80.12544784,45.05240102,80.12544784,66.94660545,23.05383863,25.23843143,,,,,0.446901705,56.86362209,15.14986322,5.434389455,3.632186,29.45550018,1.357488216,21.35815246,0.521974783,2.687708282,2.570883138,0.9592933,10.369837,1.702292277,0.121759451,6.571553315,0.07270579,1.694646688,0.206145258,0.039033198,0.293377314,0.008242796,0.877879264,0.178414836,0.012575658,1.40966768,117.1571654,0.191468128,0.686631281,0.113060999,0.008839593
