dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
8/11/1960,INTUnit1,6,4,8,2,3,3,1,0
8/12/1960,INTUnit1,3,8,8,2,4,4,1,0
8/13/1960,INTUnit1,2,12,7,1,5,4,1,0
8/14/1960,INTUnit1,3,10,10,1,6,3,0,3
8/15/1960,INTUnit1,2,10,12,0,3,3,1,0
8/16/1960,INTUnit1,3,9,13,0,4,2,0,3
8/17/1960,INTUnit1,3,8,13,0,1,2,5,0
8/18/1960,INTUnit1,4,11,13,0,5,8,0,0
8/19/1960,INTUnit1,7,6,12,0,5,5,0,0
8/20/1960,INTUnit1,5,8,12,0,5,8,0,0
8/21/1960,INTUnit1,3,9,10,0,5,4,0,1
8/22/1960,INTUnit1,3,9,10,0,4,3,0,1
8/23/1960,INTUnit1,2,9,11,0,3,5,0,1
8/24/1960,INTUnit1,1,7,11,0,2,1,0,0
8/25/1960,INTUnit1,2,7,11,0,2,3,2,0
8/26/1960,INTUnit1,4,7,10,0,4,2,0,0
8/27/1960,INTUnit1,4,10,9,0,4,4,1,0
8/28/1960,INTUnit1,2,14,8,0,6,3,0,2
8/29/1960,INTUnit1,4,13,8,0,4,3,0,1
8/30/1960,INTUnit1,5,12,8,0,3,5,0,0
8/31/1960,INTUnit1,7,8,8,0,3,4,1,0
9/1/1960,INTUnit1,4,8,9,2,4,2,0,0
9/2/1960,INTUnit1,3,11,7,4,4,3,0,0
9/3/1960,INTUnit1,4,11,7,4,4,4,0,1
9/4/1960,INTUnit1,3,10,8,4,3,3,1,0
9/5/1960,INTUnit1,3,10,9,4,4,5,0,1
9/6/1960,INTUnit1,2,11,10,1,3,4,3,0
9/7/1960,INTUnit1,3,14,8,1,6,6,0,3
9/8/1960,INTUnit1,3,10,9,1,3,2,0,1
9/9/1960,INTUnit1,2,10,10,1,2,4,3,0
9/10/1960,INTUnit1,1,12,11,0,5,4,0,1
9/11/1960,INTUnit1,0,14,10,0,4,2,1,0
9/12/1960,INTUnit1,1,17,9,0,5,5,0,0
9/13/1960,INTUnit1,3,15,9,0,5,4,0,2
9/14/1960,INTUnit1,3,14,9,0,3,4,0,1
9/15/1960,INTUnit1,4,9,11,0,2,5,3,0
9/16/1960,INTUnit1,3,11,10,0,5,4,1,0
