,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
98,11/17/1961,INTUnit6,0,5,0,0,0,1,0,0
99,11/18/1961,INTUnit6,0,4,0,0,0,0,6,0
100,11/19/1961,INTUnit6,1,9,0,0,6,1,0,3
101,11/20/1961,INTUnit6,2,10,0,0,3,2,0,0
102,11/21/1961,INTUnit6,1,11,1,0,3,2,0,2
103,11/22/1961,INTUnit6,0,11,1,0,1,4,3,0
104,11/23/1961,INTUnit6,1,10,1,0,4,2,0,1
105,11/24/1961,INTUnit6,2,10,1,0,3,1,0,1
106,11/25/1961,INTUnit6,2,12,0,0,2,2,0,1
107,11/26/1961,INTUnit6,1,12,0,0,1,1,2,0
108,11/27/1961,INTUnit6,1,14,0,0,3,3,2,0
109,11/28/1961,INTUnit6,1,16,0,0,5,5,0,2
110,11/29/1961,INTUnit6,0,15,0,0,3,3,0,2
111,11/30/1961,INTUnit6,0,13,0,0,1,2,2,0
112,12/1/1961,INTUnit6,1,13,0,0,2,2,0,2
113,12/2/1961,INTUnit6,1,11,0,0,0,5,5,0
114,12/3/1961,INTUnit6,0,12,0,0,5,2,0,4
115,12/4/1961,INTUnit6,0,11,0,0,1,3,1,0
116,12/5/1961,INTUnit6,1,8,1,0,2,3,1,0
117,12/6/1961,INTUnit6,2,7,1,0,3,3,1,0
118,12/7/1961,INTUnit6,3,7,1,0,4,3,0,3
119,12/8/1961,INTUnit6,2,7,0,0,1,3,0,0
120,12/9/1961,INTUnit6,0,7,0,0,1,1,2,0
121,12/10/1961,INTUnit6,1,8,0,0,3,0,1,0
122,12/11/1961,INTUnit6,1,12,0,0,5,4,0,1
123,12/12/1961,INTUnit6,1,11,1,0,4,3,1,0
124,12/13/1961,INTUnit6,4,10,1,0,5,2,0,4
125,12/14/1961,INTUnit6,3,10,1,0,1,4,2,0
126,12/15/1961,INTUnit6,1,11,1,0,3,3,0,2
127,12/16/1961,INTUnit6,1,9,1,0,1,3,3,0
128,12/17/1961,INTUnit6,1,11,0,0,4,1,0,3
