,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,SusceptibleX,admission,discharge,transfer_in,transfer_out
0,8/11/1961,INTUnit3,6,14,0,0,14,3,5,0,3
1,8/12/1961,INTUnit3,6,9,0,0,9,0,6,7,0
2,8/13/1961,INTUnit3,4,11,1,0,11,7,0,0,5
3,8/14/1961,INTUnit3,4,13,1,0,13,2,9,11,0
4,8/15/1961,INTUnit3,5,17,0,0,17,13,2,0,6
5,8/16/1961,INTUnit3,5,22,0,0,22,7,11,3,0
6,8/17/1961,INTUnit3,5,21,0,0,21,10,7,0,9
7,8/18/1961,INTUnit3,5,15,0,0,15,1,9,5,0
8,8/19/1961,INTUnit3,5,12,0,0,12,6,2,2,0
9,8/20/1961,INTUnit3,6,17,0,0,17,8,3,0,0
10,8/21/1961,INTUnit3,6,22,0,0,22,8,9,0,1
11,8/22/1961,INTUnit3,9,17,0,0,17,7,8,1,0
12,8/23/1961,INTUnit3,10,16,0,0,16,8,7,3,0
13,8/24/1961,INTUnit3,12,17,1,0,17,11,8,0,7
14,8/25/1961,INTUnit3,10,15,1,0,15,4,6,0,3
15,8/26/1961,INTUnit3,7,13,1,0,13,1,4,8,0
16,8/27/1961,INTUnit3,7,18,1,0,18,9,4,1,0
17,8/28/1961,INTUnit3,5,26,1,0,26,10,12,4,0
18,8/29/1961,INTUnit3,8,25,1,0,25,14,10,0,7
19,8/30/1961,INTUnit3,9,21,1,0,21,8,12,2,0
20,8/31/1961,INTUnit3,7,21,1,0,21,10,9,0,7
21,9/1/1961,INTUnit3,5,17,1,0,17,3,8,4,0
22,9/2/1961,INTUnit3,8,13,1,0,13,7,6,0,2
23,9/3/1961,INTUnit3,7,14,0,0,14,5,6,1,0
24,9/4/1961,INTUnit3,4,17,0,0,17,6,6,2,0
25,9/5/1961,INTUnit3,5,18,0,0,18,8,8,0,1
26,9/6/1961,INTUnit3,6,16,0,0,16,7,5,4,0
27,9/7/1961,INTUnit3,7,21,0,0,21,11,7,0,8
28,9/8/1961,INTUnit3,7,17,0,0,17,3,5,1,0
29,9/9/1961,INTUnit3,7,16,0,0,16,4,7,4,0
30,9/10/1961,INTUnit3,5,18,1,0,18,7,7,0,1
31,9/11/1961,INTUnit3,3,19,1,0,19,7,7,2,0
32,9/12/1961,INTUnit3,6,18,1,0,18,7,6,0,0
33,9/13/1961,INTUnit3,5,20,1,0,20,7,8,3,0
34,9/14/1961,INTUnit3,6,22,0,0,22,10,10,0,7
35,9/15/1961,INTUnit3,5,15,1,0,15,3,7,1,0
36,9/16/1961,INTUnit3,4,13,1,0,13,4,4,4,0
37,9/17/1961,INTUnit3,4,17,1,0,17,8,3,0,1
38,9/18/1961,INTUnit3,7,18,1,0,18,7,6,0,0
39,9/19/1961,INTUnit3,8,18,1,0,18,7,6,0,0
40,9/20/1961,INTUnit3,6,21,1,0,21,7,8,5,0
41,9/21/1961,INTUnit3,7,24,1,0,24,12,10,0,9
42,9/22/1961,INTUnit3,6,18,1,0,18,3,11,0,1
43,9/23/1961,INTUnit3,1,14,1,0,14,2,2,8,0
44,9/24/1961,INTUnit3,4,19,1,0,19,8,2,1,0
45,9/25/1961,INTUnit3,3,27,1,0,27,10,10,0,1
46,9/26/1961,INTUnit3,5,25,0,0,25,8,9,0,1
47,9/27/1961,INTUnit3,6,22,0,0,22,7,8,3,0
48,9/28/1961,INTUnit3,6,24,0,0,24,10,6,0,8
49,9/29/1961,INTUnit3,5,21,0,0,21,2,8,0,0
50,9/30/1961,INTUnit3,2,18,0,0,18,2,0,7,0
51,10/1/1961,INTUnit3,3,26,0,0,26,9,6,0,5
52,10/2/1961,INTUnit3,3,24,0,0,24,4,10,4,0
53,10/3/1961,INTUnit3,3,22,0,0,22,8,8,0,3
54,10/4/1961,INTUnit3,4,18,0,0,18,5,8,3,0
55,10/5/1961,INTUnit3,3,19,0,0,19,8,6,0,5
56,10/6/1961,INTUnit3,3,15,1,0,15,3,6,2,0
57,10/7/1961,INTUnit3,3,14,1,0,14,4,2,4,0
58,10/8/1961,INTUnit3,2,22,0,0,22,8,6,1,0
59,10/9/1961,INTUnit3,4,23,0,0,23,9,8,3,0
60,10/10/1961,INTUnit3,6,25,0,0,25,12,10,0,4
61,10/11/1961,INTUnit3,5,24,0,0,24,8,8,1,0
62,10/12/1961,INTUnit3,8,22,0,0,22,9,9,0,8
63,10/13/1961,INTUnit3,8,14,0,0,14,1,4,3,0
64,10/14/1961,INTUnit3,6,16,0,0,16,4,3,0,0
65,10/15/1961,INTUnit3,7,15,1,0,15,4,6,6,0
66,10/16/1961,INTUnit3,5,21,1,0,21,10,6,0,0
67,10/17/1961,INTUnit3,9,21,1,0,21,10,12,0,4
68,10/18/1961,INTUnit3,6,18,1,0,18,6,4,2,0
69,10/19/1961,INTUnit3,7,21,1,0,21,8,8,0,5
70,10/20/1961,INTUnit3,7,16,1,0,16,3,4,0,1
71,10/21/1961,INTUnit3,6,15,1,0,15,2,6,6,0
72,10/22/1961,INTUnit3,6,17,1,0,17,9,5,0,1
73,10/23/1961,INTUnit3,5,21,1,0,21,7,8,2,0
74,10/24/1961,INTUnit3,5,22,1,0,22,9,9,0,1
75,10/25/1961,INTUnit3,4,22,1,0,22,9,9,0,0
76,10/26/1961,INTUnit3,6,20,1,0,20,8,7,0,4
77,10/27/1961,INTUnit3,7,16,1,0,16,4,6,0,2
78,10/28/1961,INTUnit3,7,12,1,0,12,2,3,7,0
79,10/29/1961,INTUnit3,7,18,1,0,18,10,9,0,3
80,10/30/1961,INTUnit3,5,18,1,0,18,6,7,4,0
81,10/31/1961,INTUnit3,12,14,1,0,14,9,6,0,4
82,11/1/1961,INTUnit3,10,15,1,0,15,5,8,4,0
83,11/2/1961,INTUnit3,8,18,1,0,18,9,8,0,6
84,11/3/1961,INTUnit3,5,16,1,0,16,3,6,1,0
85,11/4/1961,INTUnit3,7,12,1,0,12,3,4,6,0
86,11/5/1961,INTUnit3,5,19,1,0,19,10,4,0,3
87,11/6/1961,INTUnit3,8,19,1,0,19,6,6,4,0
88,11/7/1961,INTUnit3,9,22,1,0,22,9,10,0,2
89,11/8/1961,INTUnit3,6,22,1,0,22,7,5,3,0
90,11/9/1961,INTUnit3,9,24,1,0,24,10,10,0,9
91,11/10/1961,INTUnit3,7,17,1,0,17,1,6,5,0
92,11/11/1961,INTUnit3,8,16,1,0,16,6,6,1,0
93,11/12/1961,INTUnit3,9,16,1,0,16,7,5,0,0
94,11/13/1961,INTUnit3,6,21,1,0,21,7,7,0,2
95,11/14/1961,INTUnit3,5,20,1,0,20,5,9,0,2
96,11/15/1961,INTUnit3,4,15,1,0,15,3,3,7,0
97,11/16/1961,INTUnit3,8,18,1,0,18,9,8,0,6
98,11/17/1961,INTUnit3,7,14,1,0,14,3,6,0,3
99,11/18/1961,INTUnit3,2,13,1,0,13,0,1,8,0
100,11/19/1961,INTUnit3,8,14,1,0,14,9,6,0,2
101,11/20/1961,INTUnit3,9,14,1,0,14,6,6,0,0
102,11/21/1961,INTUnit3,8,15,1,0,15,6,7,0,1
103,11/22/1961,INTUnit3,7,14,1,0,14,4,7,4,0
104,11/23/1961,INTUnit3,5,17,1,0,17,8,6,0,6
105,11/24/1961,INTUnit3,3,15,1,0,15,2,4,1,0
106,11/25/1961,INTUnit3,6,11,1,0,11,3,3,5,0
107,11/26/1961,INTUnit3,7,15,1,0,15,8,5,0,1
108,11/27/1961,INTUnit3,3,22,0,0,22,7,6,2,0
109,11/28/1961,INTUnit3,4,23,1,0,23,10,10,0,2
110,11/29/1961,INTUnit3,6,19,1,0,19,9,10,3,0
111,11/30/1961,INTUnit3,5,20,3,0,20,11,10,0,10
112,12/1/1961,INTUnit3,2,15,2,0,15,1,6,2,0
113,12/2/1961,INTUnit3,1,13,2,0,13,3,5,5,0
114,12/3/1961,INTUnit3,3,14,2,0,14,8,3,0,2
115,12/4/1961,INTUnit3,6,15,1,0,15,6,6,0,0
116,12/5/1961,INTUnit3,7,14,1,0,14,6,6,0,0
117,12/6/1961,INTUnit3,7,14,1,0,14,6,8,2,0
118,12/7/1961,INTUnit3,7,14,0,1,14,8,5,0,5
