,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
0,8/11/1961,INTUnit5,2,5,1,0,0,1,1,0
1,8/12/1961,INTUnit5,1,6,1,0,1,3,1,0
2,8/13/1961,INTUnit5,1,5,1,0,2,0,0,0
3,8/14/1961,INTUnit5,1,7,1,0,2,2,1,0
4,8/15/1961,INTUnit5,1,8,1,0,3,3,0,3
5,8/16/1961,INTUnit5,1,6,0,0,0,1,4,0
6,8/17/1961,INTUnit5,0,9,1,0,4,0,0,2
7,8/18/1961,INTUnit5,0,11,1,0,2,4,0,1
8,8/19/1961,INTUnit5,0,8,1,0,1,2,0,0
9,8/20/1961,INTUnit5,1,7,0,0,1,1,4,0
10,8/21/1961,INTUnit5,3,9,0,0,5,1,0,5
11,8/22/1961,INTUnit5,2,9,0,0,1,4,2,0
12,8/23/1961,INTUnit5,1,8,1,0,2,1,0,2
13,8/24/1961,INTUnit5,0,8,1,0,0,0,0,0
14,8/25/1961,INTUnit5,0,8,1,0,0,1,1,0
15,8/26/1961,INTUnit5,0,8,1,0,1,0,0,1
16,8/27/1961,INTUnit5,0,8,1,0,0,1,2,0
17,8/28/1961,INTUnit5,0,9,1,0,2,0,2,0
18,8/29/1961,INTUnit5,2,11,1,0,4,3,0,2
19,8/30/1961,INTUnit5,3,9,1,0,2,4,0,0
20,8/31/1961,INTUnit5,2,7,2,0,2,3,0,2
21,9/1/1961,INTUnit5,1,5,2,0,0,2,0,0
22,9/2/1961,INTUnit5,1,4,1,0,0,1,5,0
23,9/3/1961,INTUnit5,1,8,1,0,4,4,0,1
24,9/4/1961,INTUnit5,2,6,1,0,3,2,3,0
25,9/5/1961,INTUnit5,5,7,1,0,6,2,0,2
26,9/6/1961,INTUnit5,5,9,1,0,4,6,0,3
27,9/7/1961,INTUnit5,3,6,1,0,1,2,2,0
28,9/8/1961,INTUnit5,3,7,1,0,3,4,0,0
29,9/9/1961,INTUnit5,1,8,1,0,4,2,0,2
30,9/10/1961,INTUnit5,1,8,1,0,2,1,0,0
31,9/11/1961,INTUnit5,1,9,1,0,2,3,0,1
32,9/12/1961,INTUnit5,2,5,1,1,1,2,0,0
33,9/13/1961,INTUnit5,1,5,1,1,1,1,1,0
34,9/14/1961,INTUnit5,1,6,1,1,2,1,0,2
