,dateonunit_date,UnitName,Susceptible,SusceptibleX,Colonized,Infected,admission,discharge,transfer_in,transfer_out
35,9/15/1961,INTUnit5,1,5,1,1,0,4,0,0
36,9/16/1961,INTUnit5,0,2,1,1,0,0,3,0
37,9/17/1961,INTUnit5,2,3,1,1,3,0,1,0
38,9/18/1961,INTUnit5,2,6,2,1,3,3,0,2
39,9/19/1961,INTUnit5,0,7,1,1,1,2,1,0
40,9/20/1961,INTUnit5,0,6,3,0,2,1,1,0
41,9/21/1961,INTUnit5,0,8,3,0,3,2,0,2
42,9/22/1961,INTUnit5,0,7,3,0,1,2,0,0
43,9/23/1961,INTUnit5,0,6,3,0,1,3,1,0
44,9/24/1961,INTUnit5,0,7,1,0,2,1,3,0
45,9/25/1961,INTUnit5,1,8,3,0,5,4,1,0
46,9/26/1961,INTUnit5,5,7,2,0,6,3,0,3
47,9/27/1961,INTUnit5,5,7,2,0,3,7,1,0
48,9/28/1961,INTUnit5,3,7,1,0,4,4,0,2
49,9/29/1961,INTUnit5,2,5,1,1,1,2,0,0
50,9/30/1961,INTUnit5,1,5,1,1,1,1,1,0
51,10/1/1961,INTUnit5,1,6,1,1,2,1,1,0
52,10/2/1961,INTUnit5,2,7,1,1,3,3,2,0
53,10/3/1961,INTUnit5,4,7,2,0,5,4,0,3
54,10/4/1961,INTUnit5,4,6,1,0,2,3,2,0
55,10/5/1961,INTUnit5,3,8,1,0,3,4,0,0
56,10/6/1961,INTUnit5,2,8,1,0,3,4,0,2
57,10/7/1961,INTUnit5,1,6,1,0,1,1,0,0
58,10/8/1961,INTUnit5,1,5,2,0,1,0,0,0
59,10/9/1961,INTUnit5,1,6,2,0,1,2,4,0
60,10/10/1961,INTUnit5,3,7,2,0,5,1,0,3
61,10/11/1961,INTUnit5,3,7,3,0,2,4,0,0
62,10/12/1961,INTUnit5,0,8,3,0,2,2,0,1
63,10/13/1961,INTUnit5,1,6,3,0,1,2,0,0
64,10/14/1961,INTUnit5,1,6,2,0,1,1,0,1
65,10/15/1961,INTUnit5,0,6,2,0,0,1,1,0
66,10/16/1961,INTUnit5,1,5,2,0,1,1,1,0
67,10/17/1961,INTUnit5,1,6,2,0,2,1,0,1
68,10/18/1961,INTUnit5,2,5,2,0,1,1,2,0
69,10/19/1961,INTUnit5,2,6,3,0,3,2,0,3
70,10/20/1961,INTUnit5,2,5,2,0,1,3,0,0
71,10/21/1961,INTUnit5,2,4,1,0,1,2,0,1
72,10/22/1961,INTUnit5,1,3,1,0,0,1,2,0
73,10/23/1961,INTUnit5,0,5,1,0,2,0,0,0
74,10/24/1961,INTUnit5,0,7,1,0,2,2,0,0
75,10/25/1961,INTUnit5,1,6,1,0,2,2,1,0
76,10/26/1961,INTUnit5,2,6,1,0,3,3,0,1
77,10/27/1961,INTUnit5,2,5,0,1,2,3,0,1
78,10/28/1961,INTUnit5,1,4,0,1,1,0,3,0
79,10/29/1961,INTUnit5,1,8,0,1,4,3,0,2
80,10/30/1961,INTUnit5,2,5,0,2,3,3,2,0
81,10/31/1961,INTUnit5,7,2,0,2,4,1,0,0
82,11/1/1961,INTUnit5,7,5,0,2,4,5,0,2
83,11/2/1961,INTUnit5,5,5,0,1,2,4,0,1
84,11/3/1961,INTUnit5,2,5,0,1,1,2,1,0
85,11/4/1961,INTUnit5,2,6,0,0,2,1,3,0
86,11/5/1961,INTUnit5,3,9,0,0,5,4,1,0
87,11/6/1961,INTUnit5,3,11,0,0,6,3,1,0
88,11/7/1961,INTUnit5,3,15,0,0,7,8,0,2
89,11/8/1961,INTUnit5,3,12,0,0,5,6,0,2
90,11/9/1961,INTUnit5,4,8,0,0,3,4,0,4
91,11/10/1961,INTUnit5,2,5,0,0,0,2,1,0
92,11/11/1961,INTUnit5,1,5,0,0,1,3,3,0
93,11/12/1961,INTUnit5,0,6,1,0,4,0,1,0
94,11/13/1961,INTUnit5,2,9,1,0,4,4,0,0
95,11/14/1961,INTUnit5,3,8,1,0,4,4,0,0
96,11/15/1961,INTUnit5,4,7,1,0,4,4,0,0
97,11/16/1961,INTUnit5,5,7,0,0,3,5,0,0
98,11/17/1961,INTUnit5,2,8,0,0,3,5,0,2
99,11/18/1961,INTUnit5,0,6,0,0,1,2,5,0
100,11/19/1961,INTUnit5,3,7,0,0,5,2,0,1
101,11/20/1961,INTUnit5,5,7,0,0,4,5,1,0
102,11/21/1961,INTUnit5,4,8,0,0,5,4,0,1
103,11/22/1961,INTUnit5,4,8,0,0,4,5,0,0
104,11/23/1961,INTUnit5,4,7,0,0,4,3,0,3
105,11/24/1961,INTUnit5,2,6,1,0,1,4,0,0
106,11/25/1961,INTUnit5,2,3,1,0,1,1,1,0
107,11/26/1961,INTUnit5,1,5,1,0,2,1,0,1
108,11/27/1961,INTUnit5,0,6,1,0,1,4,3,0
109,11/28/1961,INTUnit5,1,5,1,0,4,1,0,2
110,11/29/1961,INTUnit5,3,4,1,0,2,3,2,0
111,11/30/1961,INTUnit5,3,5,1,0,4,1,0,4
112,12/1/1961,INTUnit5,2,5,0,1,0,4,0,0
113,12/2/1961,INTUnit5,1,3,0,0,0,1,4,0
114,12/3/1961,INTUnit5,2,3,2,0,4,1,0,1
115,12/4/1961,INTUnit5,2,6,1,0,3,2,1,0
116,12/5/1961,INTUnit5,3,7,1,0,4,1,0,0
117,12/6/1961,INTUnit5,3,10,1,0,4,6,0,2
118,12/7/1961,INTUnit5,2,8,0,0,2,3,0,2
119,12/8/1961,INTUnit5,2,5,0,0,1,0,0,2
120,12/9/1961,INTUnit5,2,4,0,0,0,2,2,0
121,12/10/1961,INTUnit5,0,6,0,0,2,1,2,0
122,12/11/1961,INTUnit5,3,6,0,0,4,2,0,1
123,12/12/1961,INTUnit5,4,6,0,0,3,2,0,2
124,12/13/1961,INTUnit5,3,6,0,0,1,2,1,0
125,12/14/1961,INTUnit5,4,5,0,0,2,2,0,2
126,12/15/1961,INTUnit5,3,4,0,0,0,3,1,0
127,12/16/1961,INTUnit5,2,3,0,0,1,1,1,0
128,12/17/1961,INTUnit5,1,5,0,0,2,0,0,1
129,12/18/1961,INTUnit5,2,5,0,0,1,0,1,0
130,12/19/1961,INTUnit5,2,7,0,0,2,1,0,1
131,12/20/1961,INTUnit5,2,7,0,0,1,3,4,0
132,12/21/1961,INTUnit5,2,9,0,0,5,3,0,3
133,12/22/1961,INTUnit5,3,7,0,0,2,3,0,1
134,12/23/1961,INTUnit5,2,6,0,0,1,1,2,0
135,12/24/1961,INTUnit5,1,9,0,0,3,3,0,0
136,12/25/1961,INTUnit5,0,10,0,0,4,4,0,2
137,12/26/1961,INTUnit5,0,8,0,0,1,2,5,0
138,12/27/1961,INTUnit5,5,7,0,0,6,4,0,4
139,12/28/1961,INTUnit5,6,4,0,0,2,3,0,2
140,12/29/1961,INTUnit5,1,6,0,0,0,1,3,0
141,12/30/1961,INTUnit5,1,8,0,0,3,0,0,0
142,12/31/1961,INTUnit5,2,10,0,0,3,4,0,0
143,1/1/1962,INTUnit5,4,7,0,0,3,3,0,1
144,1/2/1962,INTUnit5,4,6,0,0,2,2,0,1
145,1/3/1962,INTUnit5,3,5,1,0,1,2,0,1
146,1/4/1962,INTUnit5,1,6,0,0,1,2,0,1
147,1/5/1962,INTUnit5,0,5,0,0,0,0,1,0
148,1/6/1962,INTUnit5,1,5,0,0,1,1,1,0
149,1/7/1962,INTUnit5,1,6,0,0,2,0,2,0
150,1/8/1962,INTUnit5,0,11,0,0,4,2,0,0
151,1/9/1962,INTUnit5,2,11,0,0,5,3,0,1
152,1/10/1962,INTUnit5,5,9,0,0,4,3,0,2
153,1/11/1962,INTUnit5,5,7,1,0,2,3,1,0
154,1/12/1962,INTUnit5,5,7,1,0,3,5,0,2
155,1/13/1962,INTUnit5,4,5,0,0,1,2,1,0
156,1/14/1962,INTUnit5,2,7,0,0,2,0,2,0
157,1/15/1962,INTUnit5,4,9,0,0,3,4,0,0
158,1/16/1962,INTUnit5,2,10,0,0,3,4,1,0
159,1/17/1962,INTUnit5,1,11,0,0,4,4,0,3
160,1/18/1962,INTUnit5,1,8,0,0,1,2,1,0
161,1/19/1962,INTUnit5,0,8,1,0,2,1,0,2
162,1/20/1962,INTUnit5,0,7,1,0,0,1,2,0
163,1/21/1962,INTUnit5,1,6,2,0,2,2,0,0
164,1/22/1962,INTUnit5,1,7,1,0,1,1,0,0
165,1/23/1962,INTUnit5,0,7,2,0,2,1,0,0
166,1/24/1962,INTUnit5,2,6,2,0,2,4,1,0
167,1/25/1962,INTUnit5,3,5,1,0,3,3,0,1
168,1/26/1962,INTUnit5,1,6,1,0,2,3,0,1
169,1/27/1962,INTUnit5,1,5,0,0,1,2,4,0
170,1/28/1962,INTUnit5,3,6,0,0,5,1,0,2
171,1/29/1962,INTUnit5,2,9,0,0,3,5,1,0
172,1/30/1962,INTUnit5,1,9,0,0,5,3,0,1
173,1/31/1962,INTUnit5,2,9,0,0,4,5,3,0
174,2/1/1962,INTUnit5,4,7,1,1,7,5,0,8
175,2/2/1962,INTUnit5,3,2,2,0,1,3,1,0
176,2/3/1962,INTUnit5,2,4,0,0,2,2,0,0
177,2/4/1962,INTUnit5,2,4,0,0,2,2,0,0
178,2/5/1962,INTUnit5,2,4,0,0,2,0,1,0
179,2/6/1962,INTUnit5,1,8,0,0,3,2,0,2
180,2/7/1962,INTUnit5,2,6,0,0,1,2,5,0
181,2/8/1962,INTUnit5,2,10,0,0,4,5,0,2
182,2/9/1962,INTUnit5,0,8,1,0,2,2,0,0
183,2/10/1962,INTUnit5,0,8,1,0,3,4,0,1
184,2/11/1962,INTUnit5,1,6,0,0,1,3,4,0
185,2/12/1962,INTUnit5,4,5,0,0,5,2,0,1
186,2/13/1962,INTUnit5,5,6,0,0,3,5,2,0
187,2/14/1962,INTUnit5,6,5,0,0,5,4,0,2
188,2/15/1962,INTUnit5,4,6,0,0,3,3,0,2
189,2/16/1962,INTUnit5,1,7,0,0,1,1,0,1
190,2/17/1962,INTUnit5,1,6,0,0,0,3,4,0
191,2/18/1962,INTUnit5,2,6,0,0,4,1,0,3
192,2/19/1962,INTUnit5,3,5,0,0,1,3,5,0
193,2/20/1962,INTUnit5,2,9,0,0,6,4,0,2
194,2/21/1962,INTUnit5,1,8,1,1,4,3,0,0
195,2/22/1962,INTUnit5,2,7,2,1,4,3,0,2
196,2/23/1962,INTUnit5,3,5,2,1,2,2,0,2
197,2/24/1962,INTUnit5,1,4,3,1,0,3,1,0
198,2/25/1962,INTUnit5,0,5,2,0,1,1,1,0
199,2/26/1962,INTUnit5,1,5,2,0,2,1,1,0
200,2/27/1962,INTUnit5,1,7,2,0,3,3,1,0
201,2/28/1962,INTUnit5,2,6,3,0,3,4,1,0
202,3/1/1962,INTUnit5,1,8,2,0,4,1,0,3
203,3/2/1962,INTUnit5,1,8,2,0,1,4,1,0
204,3/3/1962,INTUnit5,1,7,1,0,2,5,2,0
205,3/4/1962,INTUnit5,1,7,0,0,4,2,1,0
206,3/5/1962,INTUnit5,2,9,0,0,4,3,0,2
207,3/6/1962,INTUnit5,2,8,0,0,2,6,3,0
208,3/7/1962,INTUnit5,2,7,0,0,5,1,0,0
209,3/8/1962,INTUnit5,3,10,0,0,5,6,0,4
210,3/9/1962,INTUnit5,1,6,1,0,1,3,1,0
211,3/10/1962,INTUnit5,1,5,1,0,2,2,1,0
212,3/11/1962,INTUnit5,1,7,0,0,3,1,0,0
213,3/12/1962,INTUnit5,1,9,0,0,3,5,1,0
214,3/13/1962,INTUnit5,3,6,0,0,4,2,0,1
215,3/14/1962,INTUnit5,2,8,0,0,3,3,0,1
216,3/15/1962,INTUnit5,0,9,0,0,2,2,0,2
217,3/16/1962,INTUnit5,0,7,0,0,0,3,2,0
218,3/17/1962,INTUnit5,1,5,0,0,2,1,2,0
219,3/18/1962,INTUnit5,3,6,0,0,4,1,1,0
220,3/19/1962,INTUnit5,5,8,0,0,5,4,0,0
221,3/20/1962,INTUnit5,6,8,0,0,5,5,0,4
222,3/21/1962,INTUnit5,5,5,0,0,2,2,2,0
223,3/22/1962,INTUnit5,5,7,0,0,4,3,0,2
224,3/23/1962,INTUnit5,5,6,0,0,2,6,0,0
225,3/24/1962,INTUnit5,2,5,0,0,1,3,3,0
226,3/25/1962,INTUnit5,3,5,0,0,4,1,0,2
227,3/26/1962,INTUnit5,3,6,0,0,2,3,3,0
228,3/27/1962,INTUnit5,1,9,1,0,4,5,0,0
229,3/28/1962,INTUnit5,1,9,0,0,4,4,1,0
230,3/29/1962,INTUnit5,1,10,0,0,4,4,0,3
231,3/30/1962,INTUnit5,1,7,0,0,1,4,2,0
232,3/31/1962,INTUnit5,2,5,0,0,3,2,0,1
233,4/1/1962,INTUnit5,1,6,0,0,2,1,3,0
234,4/2/1962,INTUnit5,2,8,0,1,4,4,0,1
235,4/3/1962,INTUnit5,2,7,0,1,3,4,1,0
236,4/4/1962,INTUnit5,2,8,0,0,4,3,1,0
237,4/5/1962,INTUnit5,5,7,0,0,5,3,0,4
238,4/6/1962,INTUnit5,3,6,1,0,1,2,0,1
239,4/7/1962,INTUnit5,2,5,1,0,0,2,3,0
240,4/8/1962,INTUnit5,3,4,2,0,3,2,0,1
241,4/9/1962,INTUnit5,2,5,2,0,2,3,2,0
242,4/10/1962,INTUnit5,3,6,1,0,4,4,1,0
243,4/11/1962,INTUnit5,5,5,1,0,5,1,0,1
244,4/12/1962,INTUnit5,5,7,2,0,4,5,0,3
245,4/13/1962,INTUnit5,2,7,1,0,1,2,1,0
246,4/14/1962,INTUnit5,1,8,1,0,2,4,2,0
247,4/15/1962,INTUnit5,3,7,0,0,4,3,0,0
248,4/16/1962,INTUnit5,5,4,1,1,4,2,0,0
249,4/17/1962,INTUnit5,5,6,1,1,4,4,0,2
250,4/18/1962,INTUnit5,3,6,1,1,2,3,2,0
251,4/19/1962,INTUnit5,4,6,2,0,4,3,0,3
252,4/20/1962,INTUnit5,2,5,3,0,1,3,0,2
253,4/21/1962,INTUnit5,1,3,2,0,0,1,4,0
254,4/22/1962,INTUnit5,2,5,2,0,4,3,0,2
255,4/23/1962,INTUnit5,5,2,1,0,2,1,2,0
256,4/24/1962,INTUnit5,4,6,1,0,4,3,0,1
257,4/25/1962,INTUnit5,3,8,0,0,3,4,1,0
258,4/26/1962,INTUnit5,3,8,0,0,4,5,0,0
259,4/27/1962,INTUnit5,2,8,0,0,4,3,0,3
260,4/28/1962,INTUnit5,1,7,0,0,1,5,1,0
261,4/29/1962,INTUnit5,1,4,0,0,2,1,2,0
262,4/30/1962,INTUnit5,2,6,0,0,4,1,0,0
263,5/1/1962,INTUnit5,4,7,0,0,4,4,0,0
264,5/2/1962,INTUnit5,5,6,0,0,4,6,5,0
265,5/3/1962,INTUnit5,5,9,0,0,9,5,0,9
266,5/4/1962,INTUnit5,2,7,0,0,0,4,2,0
267,5/5/1962,INTUnit5,0,6,1,0,2,2,1,0
268,5/6/1962,INTUnit5,1,6,1,0,3,2,0,0
269,5/7/1962,INTUnit5,1,7,1,0,3,1,0,1
270,5/8/1962,INTUnit5,1,8,1,0,2,3,2,0
271,5/9/1962,INTUnit5,4,6,1,0,4,3,1,0
272,5/10/1962,INTUnit5,5,7,1,0,5,4,0,4
273,5/11/1962,INTUnit5,3,5,2,0,0,4,1,0
274,5/12/1962,INTUnit5,1,4,2,0,1,0,2,0
275,5/13/1962,INTUnit5,2,6,2,0,3,2,0,1
276,5/14/1962,INTUnit5,2,6,2,0,2,2,3,0
277,5/15/1962,INTUnit5,6,5,2,0,5,4,0,5
278,5/16/1962,INTUnit5,5,2,2,0,0,3,4,0
279,5/17/1962,INTUnit5,4,4,2,0,4,4,0,3
280,5/18/1962,INTUnit5,3,3,1,0,1,4,0,0
281,5/19/1962,INTUnit5,1,3,0,0,1,0,1,0
282,5/20/1962,INTUnit5,2,4,0,0,2,1,0,1
283,5/21/1962,INTUnit5,3,3,0,0,1,0,5,0
284,5/22/1962,INTUnit5,3,9,0,0,6,3,0,2
285,5/23/1962,INTUnit5,2,11,0,0,4,6,2,0
286,5/24/1962,INTUnit5,1,12,0,0,6,4,0,5
287,5/25/1962,INTUnit5,1,9,0,0,1,5,0,0
288,5/26/1962,INTUnit5,0,6,0,0,1,1,0,0
289,5/27/1962,INTUnit5,1,5,0,0,1,1,1,0
290,5/28/1962,INTUnit5,1,5,1,0,2,0,0,0
291,5/29/1962,INTUnit5,2,6,1,0,2,2,0,0
292,5/30/1962,INTUnit5,2,6,1,0,2,3,0,2
293,5/31/1962,INTUnit5,0,5,1,0,0,1,1,0
294,6/1/1962,INTUnit5,0,4,2,0,1,1,0,0
295,6/2/1962,INTUnit5,0,4,2,0,1,1,1,0
296,6/3/1962,INTUnit5,1,5,1,0,2,2,4,0
297,6/4/1962,INTUnit5,2,8,1,0,6,2,0,3
298,6/5/1962,INTUnit5,1,10,1,0,3,5,1,0
299,6/6/1962,INTUnit5,1,9,1,0,4,2,0,3
300,6/7/1962,INTUnit5,1,8,1,0,1,4,3,0
301,6/8/1962,INTUnit5,1,8,1,0,3,4,0,3
302,6/9/1962,INTUnit5,0,5,1,0,0,2,0,0
303,6/10/1962,INTUnit5,0,3,1,0,0,0,5,0
304,6/11/1962,INTUnit5,2,6,1,0,3,3,2,0
305,6/12/1962,INTUnit5,3,6,2,0,5,4,0,3
306,6/13/1962,INTUnit5,1,6,2,0,2,2,4,0
307,6/14/1962,INTUnit5,2,9,2,0,6,1,0,6
308,6/15/1962,INTUnit5,2,8,2,0,2,5,0,1
309,6/16/1962,INTUnit5,0,6,2,0,1,2,1,0
310,6/17/1962,INTUnit5,1,6,1,0,3,2,1,0
311,6/18/1962,INTUnit5,2,8,0,0,4,3,0,2
312,6/19/1962,INTUnit5,1,8,0,0,2,3,0,0
313,6/20/1962,INTUnit5,1,7,0,0,2,2,0,1
314,6/21/1962,INTUnit5,1,6,0,0,1,1,2,0
315,6/22/1962,INTUnit5,2,7,0,0,2,3,0,1
316,6/23/1962,INTUnit5,1,5,1,0,1,1,1,0
317,6/24/1962,INTUnit5,2,5,1,0,2,0,0,0
318,6/25/1962,INTUnit5,2,7,1,0,2,2,0,0
319,6/26/1962,INTUnit5,3,6,1,0,2,1,0,0
320,6/27/1962,INTUnit5,2,8,1,0,2,4,0,1
321,6/28/1962,INTUnit5,1,7,0,0,1,3,2,0
322,6/29/1962,INTUnit5,1,7,0,0,3,0,0,3
323,6/30/1962,INTUnit5,1,7,0,0,0,2,4,0
324,7/1/1962,INTUnit5,1,8,1,0,3,2,0,0
325,7/2/1962,INTUnit5,3,7,1,0,3,3,0,3
326,7/3/1962,INTUnit5,2,5,1,0,0,2,6,0
327,7/4/1962,INTUnit5,2,9,1,0,5,2,0,0
328,7/5/1962,INTUnit5,3,12,0,0,5,5,0,3
329,7/6/1962,INTUnit5,2,10,0,0,2,4,1,0
330,7/7/1962,INTUnit5,4,7,0,0,3,3,0,2
331,7/8/1962,INTUnit5,2,7,0,0,1,2,1,0
332,7/9/1962,INTUnit5,1,8,0,0,2,1,2,0
333,7/10/1962,INTUnit5,5,7,0,0,4,3,0,2
334,7/11/1962,INTUnit5,5,6,0,0,2,4,2,0
335,7/12/1962,INTUnit5,5,6,0,0,4,2,0,4
336,7/13/1962,INTUnit5,4,5,0,0,0,2,1,0
337,7/14/1962,INTUnit5,1,7,0,0,0,0,1,0
338,7/15/1962,INTUnit5,1,8,0,0,1,1,1,0
339,7/16/1962,INTUnit5,2,8,0,0,2,1,1,0
340,7/17/1962,INTUnit5,3,8,1,0,3,1,0,1
341,7/18/1962,INTUnit5,2,10,1,0,2,3,1,0
342,7/19/1962,INTUnit5,4,8,1,0,3,3,0,2
343,7/20/1962,INTUnit5,2,8,1,0,1,3,1,0
344,7/21/1962,INTUnit5,0,9,1,0,2,2,0,0
345,7/22/1962,INTUnit5,1,9,0,0,2,1,0,1
346,7/23/1962,INTUnit5,2,8,0,0,1,1,1,0
347,7/24/1962,INTUnit5,1,10,0,0,2,3,1,0
348,7/25/1962,INTUnit5,3,8,0,0,3,3,0,1
349,7/26/1962,INTUnit5,5,5,0,0,2,2,0,0
350,7/27/1962,INTUnit5,4,6,0,0,1,2,0,1
351,7/28/1962,INTUnit5,2,6,0,0,0,2,4,0
352,7/29/1962,INTUnit5,4,5,1,0,4,2,0,2
353,7/30/1962,INTUnit5,3,6,1,0,2,2,1,0
354,7/31/1962,INTUnit5,3,6,1,1,2,3,0,0
355,8/1/1962,INTUnit5,4,4,0,2,2,1,0,0
356,8/2/1962,INTUnit5,4,5,0,2,2,3,0,2
357,8/3/1962,INTUnit5,2,4,0,2,0,1,1,0
358,8/4/1962,INTUnit5,1,4,1,2,0,1,3,0
359,8/5/1962,INTUnit5,1,6,1,2,3,3,0,3
360,8/6/1962,INTUnit5,1,4,1,1,0,2,0,0
361,8/7/1962,INTUnit5,1,2,1,1,0,1,2,0
362,8/8/1962,INTUnit5,2,2,2,0,1,0,0,0
363,8/9/1962,INTUnit5,2,3,2,0,1,1,1,0
364,8/10/1962,INTUnit5,2,4,2,0,1,2,0,0
